iter	Passed	Remaining
0	2	2503
1	4	2152
2	5	1684
3	7	1807
4	9	1824
5	11	1822
6	12	1805
7	14	1821
8	16	1827
9	18	1813
10	20	1808
11	22	1835
12	24	1833
13	25	1831
14	27	1837
15	29	1832
16	31	1827
17	33	1820
18	35	1814
19	37	1822
20	39	1819
21	40	1814
22	42	1806
23	44	1799
24	45	1766
25	47	1762
26	48	1758
27	50	1755
28	52	1756
29	54	1754
30	55	1749
31	57	1746
32	59	1742
33	61	1739
34	62	1734
35	64	1736
36	66	1735
37	68	1733
38	70	1730
39	71	1726
40	73	1723
41	75	1720
42	76	1701
43	78	1698
44	79	1697
45	81	1696
46	83	1694
47	85	1692
48	87	1690
49	88	1687
50	90	1685
51	92	1682
52	93	1678
53	95	1674
54	97	1673
55	99	1671
56	100	1669
57	102	1666
58	104	1663
59	105	1654
60	107	1651
61	109	1649
62	110	1646
63	112	1645
64	113	1637
65	115	1635
66	116	1626
67	118	1623
68	120	1621
69	121	1618
70	123	1612
71	124	1609
72	126	1606
73	128	1604
74	130	1603
75	131	1601
76	132	1593
77	134	1591
78	136	1587
79	137	1583
80	139	1580
81	140	1575
82	142	1570
83	143	1564
84	144	1559
85	146	1554
86	147	1548
87	148	1541
88	149	1534
89	150	1519
90	151	1515
91	152	1509
92	154	1503
93	155	1499
94	157	1496
95	157	1486
96	159	1480
97	160	1474
98	161	1470
99	162	1465
100	164	1459
101	165	1453
102	165	1444
103	166	1436
104	167	1429
105	168	1421
106	169	1415
107	170	1409
108	171	1403
109	173	1401
110	174	1395
111	175	1388
112	175	1380
113	176	1373
114	177	1365
115	178	1358
116	179	1352
117	180	1350
118	181	1343
119	182	1337
120	183	1330
121	184	1324
122	184	1318
123	185	1312
124	186	1306
125	187	1301
126	189	1299
127	190	1294
128	190	1289
129	191	1283
130	192	1278
131	193	1274
132	194	1270
133	195	1264
134	196	1259
135	197	1254
136	198	1248
137	199	1243
138	199	1238
139	200	1234
140	201	1229
141	203	1226
142	204	1224
143	205	1219
144	205	1214
145	206	1209
146	207	1204
147	208	1199
148	209	1195
149	210	1190
150	211	1186
151	211	1182
152	212	1178
153	213	1173
154	214	1169
155	215	1165
156	216	1161
157	217	1157
158	218	1154
159	219	1152
160	220	1148
161	221	1144
162	222	1144
163	223	1141
164	224	1137
165	225	1133
166	226	1129
167	227	1126
168	228	1122
169	229	1118
170	230	1115
171	230	1111
172	231	1108
173	232	1104
174	234	1103
175	235	1100
176	235	1097
177	237	1094
178	238	1092
179	238	1088
180	239	1084
181	240	1081
182	241	1078
183	242	1075
184	243	1071
185	244	1068
186	245	1065
187	246	1062
188	247	1060
189	248	1059
190	249	1057
191	250	1054
192	251	1052
193	252	1049
194	253	1045
195	254	1042
196	255	1039
197	255	1036
198	256	1033
199	257	1030
200	258	1027
201	259	1024
202	260	1022
203	261	1019
204	262	1016
205	263	1013
206	264	1013
207	265	1010
208	266	1007
209	267	1004
210	267	1001
211	268	998
212	269	995
213	270	993
214	271	990
215	272	988
216	273	985
217	273	982
218	274	980
219	275	977
220	276	975
221	277	972
222	278	970
223	279	969
224	280	966
225	281	964
226	282	961
227	283	959
228	284	957
229	285	954
230	286	952
231	286	949
232	287	947
233	288	944
234	289	942
235	290	940
236	291	938
237	292	935
238	293	933
239	294	933
240	295	932
241	296	929
242	297	927
243	298	925
244	299	922
245	300	920
246	301	918
247	302	916
248	303	913
249	303	911
250	304	909
251	305	907
252	306	905
253	307	902
254	308	901
255	310	901
256	311	899
257	311	897
258	312	894
259	313	892
260	314	890
261	315	888
262	316	886
263	317	884
264	317	881
265	318	879
266	319	877
267	320	875
268	321	873
269	323	873
270	323	871
271	325	870
272	326	869
273	327	866
274	328	864
275	328	862
276	329	860
277	330	858
278	331	856
279	332	855
280	333	853
281	334	851
282	335	849
283	336	847
284	336	845
285	338	844
286	339	843
287	340	841
288	341	839
289	342	837
290	342	835
291	343	833
292	344	831
293	345	829
294	346	827
295	347	826
296	348	824
297	349	822
298	349	820
299	351	819
300	352	818
301	353	816
302	353	814
303	355	813
304	356	812
305	357	810
306	358	808
307	359	806
308	359	804
309	360	803
310	361	801
311	362	799
312	363	797
313	364	796
314	365	794
315	366	792
316	367	791
317	368	789
318	368	787
319	369	786
320	371	785
321	372	783
322	373	782
323	374	780
324	374	778
325	375	776
326	376	775
327	377	773
328	378	771
329	379	770
330	380	769
331	381	767
332	382	765
333	383	764
334	384	762
335	385	762
336	386	760
337	387	759
338	388	757
339	389	755
340	390	754
341	391	752
342	391	750
343	393	749
344	394	748
345	395	746
346	395	745
347	396	743
348	397	741
349	398	740
350	399	738
351	401	738
352	402	737
353	402	735
354	403	733
355	404	732
356	405	730
357	406	728
358	407	727
359	408	726
360	409	725
361	410	723
362	411	721
363	412	720
364	413	718
365	413	717
366	415	717
367	416	716
368	417	714
369	418	712
370	419	711
371	420	709
372	421	708
373	422	706
374	423	705
375	424	703
376	424	702
377	425	700
378	426	698
379	427	697
380	428	696
381	429	695
382	431	694
383	432	693
384	432	691
385	433	690
386	434	688
387	435	687
388	436	686
389	437	684
390	438	683
391	439	681
392	440	680
393	441	678
394	442	677
395	443	675
396	443	674
397	444	673
398	446	672
399	447	671
400	448	669
401	449	668
402	450	667
403	451	665
404	452	664
405	453	663
406	454	661
407	454	660
408	455	658
409	456	657
410	457	655
411	458	654
412	459	652
413	460	651
414	461	650
415	462	649
416	463	647
417	464	647
418	466	646
419	467	645
420	467	643
421	468	641
422	469	640
423	470	639
424	471	637
425	472	636
426	473	634
427	474	633
428	474	632
429	476	631
430	477	630
431	478	629
432	479	627
433	480	626
434	481	625
435	482	623
436	482	622
437	483	620
438	484	619
439	485	618
440	486	616
441	487	615
442	488	613
443	489	612
444	490	611
445	491	610
446	493	610
447	495	610
448	496	609
449	497	608
450	498	606
451	499	605
452	500	604
453	501	602
454	502	601
455	502	600
456	503	598
457	504	597
458	506	597
459	507	596
460	508	594
461	509	593
462	510	591
463	511	590
464	512	589
465	512	587
466	513	586
467	514	585
468	515	583
469	516	582
470	517	581
471	518	579
472	519	578
473	520	577
474	521	576
475	522	575
476	523	574
477	524	572
478	525	571
479	526	570
480	527	568
481	528	567
482	528	566
483	529	564
484	530	563
485	531	562
486	532	560
487	533	559
488	534	558
489	535	557
490	536	556
491	537	555
492	538	553
493	539	552
494	540	551
495	541	549
496	542	548
497	542	547
498	543	545
499	544	544
500	545	542
501	546	541
502	546	540
503	547	539
504	548	537
505	549	536
506	551	536
507	552	535
508	553	533
509	553	531
510	554	530
511	555	529
512	556	528
513	557	526
514	558	525
515	559	524
516	559	523
517	560	521
518	561	520
519	562	519
520	563	517
521	564	516
522	565	515
523	565	514
524	567	513
525	568	512
526	569	510
527	570	509
528	571	508
529	571	507
530	572	506
531	573	504
532	574	503
533	575	502
534	576	500
535	577	499
536	578	498
537	579	497
538	580	496
539	580	494
540	581	493
541	582	492
542	583	491
543	584	490
544	585	488
545	586	487
546	587	486
547	587	484
548	588	483
549	589	482
550	590	481
551	591	480
552	592	479
553	593	478
554	594	476
555	595	475
556	597	475
557	598	474
558	599	472
559	600	471
560	601	470
561	601	469
562	602	467
563	603	466
564	604	465
565	605	464
566	606	463
567	608	462
568	610	462
569	611	461
570	612	460
571	613	459
572	614	457
573	615	456
574	616	455
575	617	454
576	617	453
577	618	451
578	619	450
579	620	449
580	621	448
581	622	447
582	623	445
583	624	444
584	624	443
585	625	442
586	626	440
587	628	440
588	629	438
589	629	437
590	630	436
591	631	435
592	632	434
593	633	432
594	634	431
595	635	430
596	636	429
597	637	428
598	637	427
599	638	425
600	639	424
601	640	423
602	641	422
603	643	421
604	643	420
605	644	419
606	645	417
607	646	416
608	647	415
609	648	414
610	649	413
611	650	412
612	651	411
613	652	410
614	653	408
615	654	407
616	654	406
617	655	405
618	656	404
619	658	403
620	659	402
621	659	400
622	660	399
623	661	398
624	662	397
625	664	396
626	664	395
627	665	394
628	666	393
629	667	391
630	668	390
631	669	389
632	670	388
633	670	387
634	672	386
635	673	385
636	674	384
637	675	383
638	676	381
639	676	380
640	677	379
641	678	378
642	679	377
643	680	376
644	681	375
645	682	373
646	683	372
647	684	371
648	684	370
649	685	369
650	687	368
651	688	367
652	689	366
653	690	365
654	691	364
655	692	363
656	693	362
657	694	360
658	695	359
659	695	358
660	696	357
661	697	356
662	698	355
663	699	353
664	700	352
665	701	351
666	702	350
667	703	349
668	703	348
669	704	347
670	705	345
671	706	344
672	707	343
673	708	342
674	709	341
675	710	340
676	711	339
677	712	338
678	713	337
679	713	335
680	714	334
681	715	333
682	716	332
683	717	331
684	718	330
685	719	329
686	720	328
687	721	327
688	722	326
689	723	325
690	724	323
691	725	322
692	726	321
693	726	320
694	727	319
695	728	318
696	729	317
697	730	316
698	731	314
699	733	314
700	734	313
701	735	312
702	735	310
703	736	309
704	737	308
705	738	307
706	739	306
707	740	305
708	741	304
709	742	303
710	742	301
711	743	300
712	744	299
713	745	298
714	746	297
715	748	296
716	749	295
717	750	294
718	751	293
719	751	292
720	752	291
721	753	290
722	754	289
723	755	287
724	756	286
725	757	285
726	758	284
727	758	283
728	759	282
729	760	281
730	761	280
731	763	279
732	764	278
733	764	277
734	765	276
735	766	274
736	767	273
737	768	272
738	769	271
739	770	270
740	771	269
741	772	268
742	773	267
743	774	266
744	775	265
745	776	264
746	777	263
747	778	262
748	779	261
749	780	260
750	781	259
751	782	258
752	783	257
753	784	255
754	785	254
755	786	253
756	787	252
757	788	251
758	789	250
759	789	249
760	790	248
761	791	247
762	792	246
763	793	245
764	794	243
765	795	242
766	795	241
767	796	240
768	797	239
769	798	238
770	799	237
771	800	236
772	801	235
773	803	234
774	804	233
775	805	232
776	806	231
777	807	230
778	807	229
779	808	228
780	809	227
781	810	225
782	811	224
783	812	223
784	813	222
785	814	221
786	814	220
787	815	219
788	816	218
789	818	217
790	819	216
791	820	215
792	820	214
793	821	213
794	822	212
795	823	211
796	824	209
797	825	208
798	826	207
799	827	206
800	827	205
801	829	204
802	830	203
803	831	202
804	832	201
805	833	200
806	834	199
807	835	198
808	836	197
809	837	196
810	838	195
811	838	194
812	839	193
813	840	192
814	841	191
815	842	189
816	843	188
817	844	187
818	845	186
819	846	185
820	846	184
821	848	183
822	849	182
823	850	181
824	851	180
825	852	179
826	853	178
827	853	177
828	854	176
829	855	175
830	856	174
831	857	173
832	858	172
833	859	171
834	859	169
835	860	168
836	861	167
837	862	166
838	864	165
839	865	164
840	866	163
841	867	162
842	867	161
843	868	160
844	869	159
845	870	158
846	871	157
847	872	156
848	873	155
849	873	154
850	874	153
851	875	152
852	876	151
853	878	150
854	879	149
855	880	148
856	880	147
857	881	145
858	882	144
859	883	143
860	884	142
861	885	141
862	886	140
863	887	139
864	888	138
865	889	137
866	890	136
867	891	135
868	891	134
869	892	133
870	894	132
871	895	131
872	896	130
873	897	129
874	898	128
875	898	127
876	899	126
877	900	125
878	901	124
879	902	123
880	903	122
881	904	120
882	905	119
883	906	118
884	907	117
885	908	116
886	909	115
887	910	114
888	911	113
889	912	112
890	913	111
891	914	110
892	915	109
893	916	108
894	916	107
895	917	106
896	918	105
897	919	104
898	920	103
899	921	102
900	922	101
901	923	100
902	924	99
903	925	98
904	926	97
905	927	96
906	928	95
907	929	94
908	930	93
909	931	92
910	931	91
911	932	90
912	933	88
913	934	87
914	935	86
915	936	85
916	937	84
917	938	83
918	939	82
919	940	81
920	941	80
921	942	79
922	943	78
923	944	77
924	945	76
925	946	75
926	947	74
927	948	73
928	949	72
929	949	71
930	950	70
931	951	69
932	952	68
933	953	67
934	955	66
935	956	65
936	956	64
937	957	63
938	958	62
939	959	61
940	960	60
941	961	59
942	962	58
943	963	57
944	964	56
945	964	55
946	965	54
947	966	53
948	967	51
949	968	50
950	969	49
951	970	48
952	971	47
953	973	46
954	975	45
955	976	44
956	977	43
957	977	42
958	978	41
959	979	40
960	980	39
961	981	38
962	982	37
963	983	36
964	984	35
965	985	34
966	986	33
967	987	32
968	988	31
969	989	30
970	990	29
971	991	28
972	991	27
973	992	26
974	993	25
975	994	24
976	995	23
977	996	22
978	997	21
979	998	20
980	999	19
981	1000	18
982	1001	17
983	1002	16
984	1003	15
985	1004	14
986	1004	13
987	1005	12
988	1006	11
989	1007	10
990	1008	9
991	1009	8
992	1010	7
993	1011	6
994	1012	5
995	1013	4
996	1014	3
997	1015	2
998	1016	1
999	1017	0
