iter	RMSE
0	2.091148647
1	2.066100267
2	2.05005366
3	2.02797059
4	2.009333319
5	1.993397128
6	1.974840379
7	1.956453088
8	1.941068954
9	1.92356221
10	1.902830167
11	1.891028642
12	1.874134327
13	1.85951021
14	1.846193008
15	1.833529752
16	1.820169567
17	1.806266036
18	1.789088041
19	1.77656177
20	1.761108776
21	1.74708735
22	1.730555728
23	1.71438258
24	1.701516947
25	1.68946789
26	1.677399085
27	1.662207897
28	1.64997239
29	1.637019822
30	1.627981548
31	1.617647195
32	1.608413062
33	1.598586991
34	1.58778248
35	1.575184172
36	1.558614027
37	1.548833749
38	1.541277417
39	1.527817773
40	1.512956895
41	1.500649005
42	1.486730145
43	1.474763779
44	1.463269663
45	1.450220339
46	1.437368479
47	1.426839707
48	1.416510748
49	1.406672406
50	1.395748075
51	1.385536827
52	1.377070726
53	1.366168298
54	1.359636439
55	1.352518303
56	1.343357224
57	1.336461903
58	1.328008362
59	1.318045788
60	1.309370474
61	1.300686695
62	1.292838777
63	1.283974291
64	1.274783235
65	1.26721197
66	1.259681205
67	1.252511429
68	1.242710999
69	1.236627816
70	1.229953884
71	1.222171888
72	1.212968205
73	1.205629074
74	1.197643324
75	1.190775761
76	1.185252274
77	1.178024995
78	1.173919458
79	1.169276242
80	1.163967697
81	1.156695539
82	1.148407748
83	1.140933294
84	1.133317794
85	1.128017715
86	1.119295519
87	1.114666729
88	1.108753832
89	1.101681445
90	1.095465587
91	1.085694742
92	1.080006632
93	1.074837377
94	1.06877208
95	1.061674698
96	1.056376731
97	1.052329806
98	1.045837781
99	1.039200152
100	1.036793652
101	1.032294987
102	1.02771554
103	1.022386222
104	1.017909752
105	1.01317849
106	1.00626497
107	1.001266116
108	0.9964891673
109	0.9923147915
110	0.9872440245
111	0.9828272666
112	0.9784950142
113	0.9739470813
114	0.9695769079
115	0.9632803348
116	0.958137318
117	0.9540687217
118	0.9505514705
119	0.9440268955
120	0.9385818406
121	0.9330336623
122	0.9310197158
123	0.9272681165
124	0.9222832318
125	0.9181576838
126	0.9135600124
127	0.9086633201
128	0.903213634
129	0.8994704861
130	0.8958381646
131	0.8908365198
132	0.8881506292
133	0.8839280101
134	0.8792343791
135	0.8747644727
136	0.8691846759
137	0.8655238464
138	0.8601533317
139	0.8566871481
140	0.8533578641
141	0.8485001871
142	0.8449459494
143	0.8387108612
144	0.8338639448
145	0.8298799146
146	0.8264122949
147	0.8230801148
148	0.8207203665
149	0.8176702401
150	0.8133695091
151	0.8087730725
152	0.8039416289
153	0.7993147159
154	0.7969922391
155	0.7943115061
156	0.7879774723
157	0.7815955774
158	0.7762562515
159	0.7711875349
160	0.7672628468
161	0.7651483443
162	0.7615180105
163	0.7574643747
164	0.7542573991
165	0.7524445828
166	0.7499929994
167	0.7457252964
168	0.7436491409
169	0.7416780057
170	0.7380144989
171	0.7343203313
172	0.7313184898
173	0.7273034394
174	0.7245938121
175	0.7209976659
176	0.7173949868
177	0.7132876309
178	0.7119789882
179	0.7080549821
180	0.7042903125
181	0.702945892
182	0.6991514057
183	0.6962604606
184	0.6937813363
185	0.6890304862
186	0.6868090188
187	0.6833639721
188	0.6782725389
189	0.6737737979
190	0.6691481935
191	0.6639505041
192	0.661349221
193	0.6571295386
194	0.653159991
195	0.6515208349
196	0.6483439572
197	0.6451765109
198	0.6434756302
199	0.6417223291
200	0.6381480905
201	0.6359152411
202	0.6325146947
203	0.6302910898
204	0.6278940029
205	0.6246322145
206	0.6206712904
207	0.618228617
208	0.6172944398
209	0.6156047681
210	0.6123385796
211	0.6087058045
212	0.605313561
213	0.6034780402
214	0.602360736
215	0.59961653
216	0.5983529119
217	0.5942035442
218	0.590685071
219	0.5885511938
220	0.5852732823
221	0.5835887658
222	0.5807543855
223	0.5790631767
224	0.5752721696
225	0.5735448805
226	0.5715013046
227	0.5692357108
228	0.5684103668
229	0.5652782085
230	0.564003134
231	0.5606668118
232	0.5585362072
233	0.5556154982
234	0.5531474422
235	0.5496978511
236	0.5463154374
237	0.5438290464
238	0.5401472367
239	0.5375062352
240	0.5350850815
241	0.5332181065
242	0.5300629257
243	0.5277368744
244	0.5269464744
245	0.5241539633
246	0.5223290472
247	0.518637498
248	0.5160661675
249	0.5138804861
250	0.5109555153
251	0.5076919392
252	0.5064207927
253	0.5050494871
254	0.5029849977
255	0.5022006953
256	0.5010878468
257	0.498570062
258	0.496829172
259	0.4938310235
260	0.4909291318
261	0.4887117549
262	0.4846892083
263	0.4818412148
264	0.4777193376
265	0.4745506802
266	0.4702131369
267	0.4658235113
268	0.4637115678
269	0.4617729388
270	0.4593163094
271	0.4563184451
272	0.4546008784
273	0.4501954131
274	0.4493350728
275	0.446495004
276	0.4445259899
277	0.4421481518
278	0.4386360678
279	0.4350937223
280	0.4333391071
281	0.4298212027
282	0.4283813574
283	0.4256921385
284	0.4217779896
285	0.4191835856
286	0.4172525396
287	0.4148162473
288	0.4115947241
289	0.4098364229
290	0.4075002895
291	0.404740334
292	0.4024218897
293	0.400197256
294	0.3969536341
295	0.3944274084
296	0.3912950332
297	0.3881312144
298	0.385046538
299	0.3824276073
300	0.3793412937
301	0.376484362
302	0.3735060394
303	0.371547634
304	0.3686835924
305	0.3663132939
306	0.3640667601
307	0.3620724176
308	0.3602100033
309	0.358374181
310	0.3557876621
311	0.3540178537
312	0.3524385198
313	0.3503001822
314	0.3478425482
315	0.3460882485
316	0.3444236367
317	0.342022798
318	0.3398748635
319	0.3380227753
320	0.3352375569
321	0.3332318155
322	0.3318223187
323	0.3295361681
324	0.327281782
325	0.3256083696
326	0.3230829938
327	0.3212292156
328	0.3186846502
329	0.3169224304
330	0.314445972
331	0.3121025186
332	0.3108622006
333	0.308453952
334	0.3061782538
335	0.303946259
336	0.3016084897
337	0.299832072
338	0.2975409814
339	0.2959806676
340	0.2943360592
341	0.2924834959
342	0.2908510399
343	0.2893667239
344	0.2877781281
345	0.2863066748
346	0.2848602191
347	0.2830429087
348	0.2818178148
349	0.2801892135
350	0.2787930047
351	0.2772006764
352	0.2757556113
353	0.2743931649
354	0.2736394667
355	0.27286672
356	0.2715349214
357	0.2700547922
358	0.2686728765
359	0.267944219
360	0.267225323
361	0.2664868512
362	0.2657857522
363	0.26381572
364	0.2631252774
365	0.2624437434
366	0.2617431855
367	0.2605924232
368	0.259481209
369	0.2575899386
370	0.2561265955
371	0.2550618547
372	0.2536008467
373	0.2517207294
374	0.2500585503
375	0.2486430738
376	0.2480213717
377	0.2470091792
378	0.245674122
379	0.2442878494
380	0.243337985
381	0.2420374565
382	0.2403716472
383	0.2390268304
384	0.2377027101
385	0.236485572
386	0.2347465217
387	0.2332207766
388	0.2315450823
389	0.2307314842
390	0.2298192351
391	0.2289560983
392	0.228065678
393	0.2269625001
394	0.2253054879
395	0.2245378871
396	0.2233078777
397	0.2221108578
398	0.2210659844
399	0.2198562777
400	0.2187095389
401	0.2178790045
402	0.2166884996
403	0.2157088987
404	0.2149093854
405	0.2140409388
406	0.2129152875
407	0.2118316075
408	0.210905535
409	0.2098835144
410	0.2091160921
411	0.2081810197
412	0.2067619584
413	0.2058606591
414	0.2048773461
415	0.2039486619
416	0.2028016225
417	0.2018978962
418	0.2009220545
419	0.200369105
420	0.1992570579
421	0.1983094241
422	0.1974152416
423	0.196878433
424	0.195949681
425	0.19474214
426	0.1938773942
427	0.1926922569
428	0.1917240506
429	0.1912104825
430	0.1907043911
431	0.1895677972
432	0.1884512172
433	0.187481855
434	0.1863465489
435	0.1857179608
436	0.1846011886
437	0.1837628438
438	0.182946909
439	0.1818493637
440	0.1807844174
441	0.1801728079
442	0.1790973269
443	0.1782409075
444	0.1773992622
445	0.1762229487
446	0.17563099
447	0.1744784159
448	0.1735249553
449	0.1725167256
450	0.1718853273
451	0.1706610375
452	0.1694387347
453	0.1682726646
454	0.1671086089
455	0.1661034566
456	0.1650188274
457	0.1639005105
458	0.1628416195
459	0.1617800911
460	0.1608050704
461	0.1597527833
462	0.1588027536
463	0.1578337795
464	0.1570245327
465	0.1560246546
466	0.1551167348
467	0.1542320919
468	0.1532564602
469	0.1523654811
470	0.1514204701
471	0.1511486605
472	0.1502779868
473	0.1492415779
474	0.1489768043
475	0.1480634984
476	0.1478031066
477	0.1475463139
478	0.146546387
479	0.1455465414
480	0.1445681809
481	0.1435946052
482	0.1426392129
483	0.141689435
484	0.1407699667
485	0.1400617611
486	0.1393680837
487	0.138726647
488	0.1384949183
489	0.1375999514
490	0.1367171707
491	0.1358193077
492	0.1348663991
493	0.13417456
494	0.1338477042
495	0.1333097985
496	0.1329881979
497	0.1326939862
498	0.1324042725
499	0.1314634541
500	0.1305550907
501	0.1296654602
502	0.1291474722
503	0.1282782346
504	0.1279732402
505	0.1274680905
506	0.1271680308
507	0.1265409003
508	0.1262460028
509	0.1257601487
510	0.1255503052
511	0.1252595644
512	0.1250519737
513	0.1247014188
514	0.124467252
515	0.1239280361
516	0.1234307568
517	0.1232477953
518	0.1226294236
519	0.1223859112
520	0.1215745006
521	0.1212960546
522	0.1205511565
523	0.1200389784
524	0.1194520488
525	0.1192160483
526	0.1189467231
527	0.1187141336
528	0.1183869307
529	0.1178956642
530	0.1173289319
531	0.1171011269
532	0.1165647455
533	0.1157072113
534	0.1152333608
535	0.115011081
536	0.1144654895
537	0.1140316923
538	0.1135120986
539	0.1128206328
540	0.1123652174
541	0.1118406139
542	0.1114331882
543	0.1107617942
544	0.1099624668
