iter	Passed	Remaining
0	0	401
1	0	320
2	0	271
3	0	244
4	1	227
5	1	221
6	1	211
7	1	204
8	1	197
9	1	193
10	2	188
11	2	185
12	2	182
13	2	179
14	2	176
15	2	174
16	2	171
17	3	170
18	3	168
19	3	166
20	3	164
21	3	163
22	3	162
23	3	161
24	4	160
25	4	159
26	4	158
27	4	157
28	4	156
29	4	155
30	4	155
31	5	154
32	5	153
33	5	153
34	5	152
35	5	152
36	5	151
37	5	150
38	6	150
39	6	149
40	6	149
41	6	148
42	6	148
43	6	147
44	6	147
45	7	146
46	7	146
47	7	145
48	7	145
49	7	145
50	7	144
51	7	144
52	8	143
53	8	143
54	8	143
55	8	143
56	8	142
57	8	142
58	8	142
59	9	141
60	9	141
61	9	141
62	9	140
63	9	140
64	9	140
65	9	140
66	10	139
67	10	139
68	10	139
69	10	139
70	10	138
71	10	138
72	10	138
73	11	138
74	11	137
75	11	137
76	11	137
77	11	137
78	11	137
79	11	136
80	12	136
81	12	136
82	12	136
83	12	136
84	12	135
85	12	135
86	12	135
87	13	135
88	13	135
89	13	134
90	13	134
91	13	134
92	13	134
93	13	133
94	14	133
95	14	133
96	14	133
97	14	133
98	14	133
99	14	132
100	14	132
101	15	132
102	15	132
103	15	132
104	15	132
105	15	131
106	15	131
107	15	131
108	16	131
109	16	131
110	16	130
111	16	130
112	16	130
113	16	130
114	16	130
115	17	130
116	17	129
117	17	129
118	17	129
119	17	129
120	17	129
121	17	129
122	18	128
123	18	129
124	18	129
125	18	130
126	18	130
127	19	130
128	19	130
129	19	130
130	19	129
131	19	129
132	19	129
133	20	129
134	20	129
135	20	129
136	20	129
137	20	128
138	20	128
139	20	128
140	21	128
141	21	128
142	21	127
143	21	127
144	21	127
145	21	127
146	21	126
147	22	126
148	22	126
149	22	126
150	22	126
151	22	126
152	22	125
153	22	125
154	23	125
155	23	125
156	23	125
157	23	124
158	23	124
159	23	124
160	23	124
161	24	124
162	24	124
163	24	123
164	24	123
165	24	123
166	24	123
167	24	123
168	24	122
169	25	122
170	25	122
171	25	122
172	25	122
173	25	122
174	25	121
175	25	121
176	26	121
177	26	121
178	26	121
179	26	120
180	26	120
181	26	120
182	26	120
183	27	119
184	27	119
185	27	119
186	27	119
187	27	119
188	27	119
189	27	118
190	28	118
191	28	118
192	28	118
193	28	118
194	28	118
195	28	117
196	28	117
197	29	117
198	29	117
199	29	117
200	29	117
201	29	116
202	29	116
203	29	116
204	30	116
205	30	116
206	30	116
207	30	116
208	30	116
209	30	116
210	30	115
211	31	115
212	31	115
213	31	115
214	31	114
215	31	114
216	31	114
217	31	114
218	32	114
219	32	114
220	32	113
221	32	113
222	32	113
223	32	113
224	32	113
225	33	113
226	33	112
227	33	112
228	33	112
229	33	112
230	33	112
231	33	112
232	33	111
233	34	111
234	34	111
235	34	111
236	34	110
