iter	RMSE
0	1.935365145
1	1.929887215
2	1.923805799
3	1.917225331
4	1.910085219
5	1.901152332
6	1.895914024
7	1.892784351
8	1.885950201
9	1.881166178
10	1.876970831
11	1.872839746
12	1.869027874
13	1.86343607
14	1.859329119
15	1.852442865
16	1.848087549
17	1.843624638
18	1.841058815
19	1.837173651
20	1.831137234
21	1.828140113
22	1.823678354
23	1.820408628
24	1.815139025
25	1.811202023
26	1.805221588
27	1.799089782
28	1.796524921
29	1.792503714
30	1.787335944
31	1.782378445
32	1.776952436
33	1.773699632
34	1.766939747
35	1.763483205
36	1.758354106
37	1.753661228
38	1.750722309
39	1.748315089
40	1.746138683
41	1.742481465
42	1.73772102
43	1.735137358
44	1.732722222
45	1.728970293
46	1.726563207
47	1.723870015
48	1.720845148
49	1.714823785
50	1.711963516
51	1.704775507
52	1.70041987
53	1.694634898
54	1.691396395
55	1.688825594
56	1.684400496
57	1.682223151
58	1.677532103
59	1.675504087
60	1.6715069
61	1.667870661
62	1.664160458
63	1.657704604
64	1.65497625
65	1.650837611
66	1.647366381
67	1.642572698
68	1.640403212
69	1.636751602
70	1.634688822
71	1.633162213
72	1.629444962
73	1.625635002
74	1.622850447
75	1.619916805
76	1.616119413
77	1.613683139
78	1.610295522
79	1.605180465
80	1.602746607
81	1.601321503
82	1.598077897
83	1.595724553
84	1.591123149
85	1.586841115
86	1.584794193
87	1.581712601
88	1.579754894
89	1.575207497
90	1.572532099
91	1.568794864
92	1.564806399
93	1.56071001
94	1.557055497
95	1.553397349
96	1.549463555
97	1.543488657
98	1.542031653
99	1.538816418
100	1.537037453
101	1.533599579
102	1.530856489
103	1.525368616
104	1.522435418
105	1.520338427
106	1.517933958
107	1.514965516
108	1.511903963
109	1.508844315
110	1.50655836
111	1.504860794
112	1.500673726
113	1.497925915
114	1.495515487
115	1.492510768
116	1.4865312
117	1.483864699
118	1.479753253
119	1.475452928
120	1.471829552
121	1.468368705
122	1.465380746
123	1.463680204
124	1.46173503
125	1.459349684
126	1.456577757
127	1.454625485
128	1.4506609
129	1.449729028
130	1.447295771
131	1.443671572
132	1.440131884
133	1.436132996
134	1.433224618
135	1.429526524
136	1.427748111
137	1.424970447
138	1.423030879
139	1.418589841
140	1.415534936
141	1.412003995
142	1.40816161
143	1.406716033
144	1.40453747
145	1.400729531
146	1.395102025
147	1.392477709
148	1.39083573
149	1.386646133
150	1.384060671
151	1.382195662
152	1.380508278
153	1.37839649
154	1.373481247
155	1.371676482
156	1.369818457
157	1.366941995
158	1.362414081
159	1.361504573
160	1.359655245
161	1.357722151
162	1.356245634
163	1.354836393
164	1.351819936
165	1.350590744
166	1.348613866
167	1.345791894
168	1.34241415
169	1.339587933
170	1.337837337
171	1.335999117
172	1.334293098
173	1.332237958
174	1.329159283
175	1.326807415
176	1.324808139
177	1.321313
178	1.318085372
179	1.315169878
180	1.313446351
181	1.309352846
182	1.308001328
183	1.304838225
184	1.30042696
185	1.296602851
186	1.294587159
187	1.291944019
188	1.290263011
189	1.285416048
190	1.282231304
191	1.28028094
192	1.275919539
193	1.272716544
194	1.271220247
195	1.270021691
196	1.268435444
197	1.265699305
198	1.264539868
199	1.261500873
200	1.259708156
201	1.25868305
202	1.256507718
203	1.253437262
204	1.251982787
205	1.250654541
206	1.247576365
207	1.244763382
208	1.241026731
209	1.238261244
210	1.237532715
211	1.236380687
212	1.232570138
213	1.2300821
214	1.227509266
215	1.226770417
216	1.224538565
217	1.222471079
218	1.221998994
219	1.220506538
220	1.218044979
221	1.21623444
222	1.215165111
223	1.209319892
224	1.20489607
225	1.201695932
226	1.200864173
227	1.199587418
228	1.197312266
229	1.194376125
230	1.193091241
231	1.191715671
232	1.189693008
233	1.188617927
234	1.18628589
235	1.185090609
236	1.184526247
237	1.181296227
238	1.179159515
239	1.178547644
240	1.174872047
241	1.171708378
242	1.16865391
243	1.168232462
244	1.166452036
245	1.164777052
246	1.163121385
247	1.161749411
248	1.16027407
249	1.158466468
250	1.153979458
251	1.152387798
252	1.150602748
253	1.148047972
254	1.144534156
255	1.141835885
256	1.140882002
257	1.140113206
258	1.136601667
259	1.135875093
260	1.135200607
261	1.12980463
262	1.12757688
263	1.126484566
264	1.124738398
265	1.120282561
266	1.118781581
267	1.11705662
268	1.115714429
269	1.114407358
270	1.11353361
271	1.112306462
272	1.111047611
273	1.11006489
274	1.105619037
275	1.104614262
276	1.101384184
277	1.097633628
278	1.097118826
279	1.094513465
280	1.090631599
281	1.086072017
282	1.084334564
283	1.082606985
284	1.08078389
285	1.076417111
286	1.071277344
287	1.070258179
288	1.069596826
289	1.068876652
290	1.067446392
291	1.065948453
292	1.064387485
293	1.05950791
294	1.058225786
295	1.055177842
296	1.049451477
297	1.04539714
298	1.043803505
299	1.040578395
300	1.035515226
301	1.033120491
302	1.032623579
303	1.030957876
304	1.027028765
305	1.026133376
306	1.025030765
307	1.022170068
308	1.01746926
309	1.014674538
310	1.011189798
311	1.009554395
312	1.006310705
313	1.004115293
314	0.9995250252
315	0.9962640094
316	0.994688215
317	0.9937281703
318	0.9898065253
319	0.9861161223
320	0.9846249052
321	0.9829489443
322	0.9821961436
323	0.9797016193
324	0.9754536168
325	0.9731506269
326	0.9710795951
327	0.9679871479
328	0.967373639
329	0.9655369613
330	0.9626863914
331	0.9597872183
332	0.9572895152
333	0.9549291427
334	0.9514960037
335	0.950665421
336	0.9486324261
337	0.9480143613
338	0.9437409399
339	0.9433507177
340	0.9416362691
341	0.9381187939
342	0.9354026904
343	0.9327480118
344	0.9303747925
345	0.9262330747
346	0.9226030035
347	0.9211970409
348	0.919642679
349	0.9150414115
350	0.9143581761
351	0.9132510553
352	0.9116815618
353	0.9112568356
354	0.9086442783
355	0.905258566
356	0.902020096
357	0.899619185
358	0.8981779157
359	0.8970054155
360	0.8957435356
361	0.8945227419
362	0.89385485
363	0.8898511853
364	0.8861691172
365	0.8831588633
366	0.8822285954
367	0.8787352884
368	0.8756563435
369	0.8751914728
370	0.8738591699
371	0.8727001937
372	0.8722661087
373	0.8705323548
374	0.866923805
375	0.8662952411
376	0.8658357203
377	0.8624008962
378	0.8585907437
379	0.8555262796
380	0.8546711684
381	0.8529383038
382	0.8511489152
383	0.8487675315
384	0.8451031859
385	0.8427115538
386	0.8423578725
387	0.8415882117
388	0.8402870293
389	0.8387809055
390	0.835827399
391	0.8337575027
392	0.8324011538
393	0.8293642373
394	0.8268315784
395	0.8249530614
396	0.8232777999
397	0.8218292883
398	0.8196106045
399	0.8183379265
400	0.8179179349
401	0.816316555
402	0.8132577358
403	0.8113075493
404	0.8107650734
405	0.8091284417
406	0.8082858088
407	0.8060882516
408	0.8027109662
409	0.8007638245
410	0.7978585089
411	0.7945545723
412	0.7927862922
413	0.7898193422
414	0.7870600302
415	0.7850537605
416	0.7832935134
417	0.7820038934
418	0.778602367
419	0.7752401552
420	0.7725503704
421	0.7709032321
422	0.7693637235
423	0.7681389152
424	0.7648486203
425	0.7643067975
426	0.7623676312
427	0.7617095295
428	0.7613468822
429	0.7594645266
430	0.7569031148
431	0.7541113023
432	0.7528702187
433	0.7497434047
434	0.7483959019
435	0.7470476043
436	0.7454593061
437	0.7446357394
438	0.7440821021
439	0.7422998354
440	0.73925437
441	0.7378427423
442	0.7372766432
443	0.7363232292
444	0.7344263567
445	0.7327810014
446	0.7317916012
447	0.7310247388
448	0.7301054278
449	0.7289921056
450	0.7268095605
451	0.7262658276
452	0.7242076473
453	0.7226033175
454	0.7208232547
455	0.7181607008
456	0.7175577827
457	0.7163493492
458	0.7157924259
459	0.7150098824
460	0.7121559747
461	0.7113118343
462	0.7109354633
463	0.7080446043
464	0.7076016246
465	0.7048894111
466	0.7026263356
467	0.7003372159
468	0.6991753095
469	0.6965354391
470	0.6949363027
471	0.6920493416
472	0.6894796136
473	0.6872228866
474	0.6848253056
475	0.683072138
476	0.6818037253
477	0.6796333427
478	0.6776651175
479	0.6761271008
480	0.6757221588
481	0.6752147107
482	0.6745768339
483	0.6728761242
484	0.6713118548
485	0.6695569971
486	0.6672456518
487	0.6653097505
488	0.6642491418
489	0.6610806332
490	0.6599634282
491	0.6596861377
492	0.6581500449
493	0.655808345
494	0.6541439242
495	0.6529377496
496	0.651666315
497	0.6510205509
498	0.649810983
499	0.6491255012
500	0.6476550455
501	0.6471400775
502	0.646549584
503	0.6451253112
504	0.644825582
505	0.6434687228
506	0.6431097041
507	0.6413497851
508	0.6398180238
509	0.6387531985
510	0.6367560089
511	0.6358388118
512	0.6355758994
513	0.6353215247
514	0.6349515828
515	0.6336881024
516	0.6333351387
517	0.6325730237
518	0.6315294182
519	0.6296799688
520	0.6273621519
521	0.6269205408
522	0.6252886694
523	0.6250787772
524	0.6242598833
525	0.6234934645
526	0.6215517035
527	0.6205923716
528	0.6195814405
529	0.6192321086
530	0.6175759944
531	0.6150892499
532	0.6135968845
533	0.611816476
534	0.6093739415
535	0.6078784883
536	0.6060048353
537	0.6049729484
538	0.6029099653
539	0.6010878249
540	0.599948073
541	0.5992993528
542	0.5973469487
543	0.5949740155
544	0.5931091417
545	0.5918214256
546	0.5903234762
547	0.5886709916
548	0.587407947
549	0.585698434
550	0.5841154367
551	0.5835243115
552	0.5827369364
553	0.5818095038
554	0.5808830091
555	0.5783596641
556	0.5763590298
557	0.575361618
558	0.5745229457
559	0.5738147912
560	0.5735757371
561	0.5732646333
562	0.5718059902
563	0.5698939355
564	0.5674892279
565	0.5658147478
566	0.5649974563
567	0.5627996194
568	0.5610188543
569	0.5602857545
570	0.5590009576
571	0.5575272506
572	0.556060611
573	0.5545179902
574	0.5540940343
