iter	RMSE
0	1.952955283
1	1.932899226
2	1.917825537
3	1.903288669
4	1.886379829
5	1.872435513
6	1.855251196
7	1.838799017
8	1.827182931
9	1.816201993
10	1.805456139
11	1.795016624
12	1.78171569
13	1.772839012
14	1.759113805
15	1.745305744
16	1.73201075
17	1.722846415
18	1.712210199
19	1.698413446
20	1.685571732
21	1.679188518
22	1.666669056
23	1.653944347
24	1.647465578
25	1.636665799
26	1.62811809
27	1.618675986
28	1.611289822
29	1.600840714
30	1.589223523
31	1.577971186
32	1.571064737
33	1.562060421
34	1.552385502
35	1.544046931
36	1.535984413
37	1.526498024
38	1.5208359
39	1.511419493
40	1.504056743
41	1.497027924
42	1.489282196
43	1.483134603
44	1.474439647
45	1.467421638
46	1.463132943
47	1.4554408
48	1.447590373
49	1.441276207
50	1.433829388
51	1.426489966
52	1.419891431
53	1.41353503
54	1.405855397
55	1.400287854
56	1.394619101
57	1.389976888
58	1.383246083
59	1.376609541
60	1.369575833
61	1.362845538
62	1.357550936
63	1.351503636
64	1.344937196
65	1.342377242
66	1.336709298
67	1.332931861
68	1.32817323
69	1.324071265
70	1.319071025
71	1.316153854
72	1.310594427
73	1.306300838
74	1.299929723
75	1.297712137
76	1.292599686
77	1.288196363
78	1.283815804
79	1.27828422
80	1.274162776
81	1.269350223
82	1.267632217
83	1.262541895
84	1.257643456
85	1.254413489
86	1.249857402
87	1.248011236
88	1.243012753
89	1.238830708
90	1.234618978
91	1.22982312
92	1.226255527
93	1.223511107
94	1.219482633
95	1.21523853
96	1.21156699
97	1.208002457
98	1.2049376
99	1.201113407
100	1.199237511
101	1.194350759
102	1.190728685
103	1.186178054
104	1.181671309
105	1.17865956
106	1.174922026
107	1.171283965
108	1.167856882
109	1.165494152
110	1.160719093
111	1.154916223
112	1.15206771
113	1.148759979
114	1.144749344
115	1.139519972
116	1.137577673
117	1.135569669
118	1.132702642
119	1.12969102
120	1.126703612
121	1.122352191
122	1.118954797
123	1.116372761
124	1.11247868
125	1.110183768
126	1.107377963
127	1.104539308
128	1.100898819
129	1.096490417
130	1.094025234
131	1.091103709
132	1.088649001
133	1.08407462
134	1.081511963
135	1.075246748
136	1.071341912
137	1.067957411
138	1.064346427
139	1.061005021
140	1.059308757
141	1.056642213
142	1.054270243
143	1.052246776
144	1.048137846
145	1.044863742
146	1.040234822
147	1.037724509
148	1.035762801
149	1.033136047
150	1.030136391
151	1.027101402
152	1.024546449
153	1.021749689
154	1.018468029
155	1.015237431
156	1.011651693
157	1.008628721
158	1.006368137
159	1.003190691
160	1.000064476
161	0.996194917
162	0.9933563874
163	0.9910051109
164	0.989347902
165	0.98666371
166	0.9848912008
167	0.9833167905
168	0.9801012422
169	0.978003211
170	0.9741131741
171	0.9720196609
172	0.9683792409
173	0.9657496313
174	0.9636877619
175	0.9613064224
176	0.9585981711
177	0.9571673652
178	0.9546970119
179	0.9522043309
180	0.9487607066
181	0.9464677768
182	0.9442687313
183	0.9426372664
184	0.9400827177
185	0.9373080698
186	0.9346767475
187	0.9310369433
188	0.9280670373
189	0.9255593475
190	0.9247168741
191	0.9223123664
192	0.919786785
193	0.9171337264
194	0.9149252999
195	0.9110727834
196	0.9084566007
197	0.9067572072
198	0.9041767019
199	0.9018549487
200	0.9002444425
201	0.8974025828
202	0.8946671818
203	0.8934677275
204	0.8902669354
205	0.8866968161
206	0.8843411286
207	0.8817215315
208	0.879044793
209	0.8770847246
210	0.8745393029
211	0.8729948249
212	0.8702326064
213	0.8687711066
214	0.8677082594
215	0.8653109604
216	0.8621982922
217	0.8614502592
218	0.858528937
219	0.8578429031
220	0.857202061
221	0.8558388205
222	0.8543700905
223	0.852293594
224	0.8500199749
225	0.8473750252
226	0.8452717862
227	0.842761617
228	0.8411198856
229	0.8392497761
230	0.8371410777
231	0.8332072491
232	0.8308910753
233	0.8280076557
234	0.8242385062
235	0.823401849
236	0.8199960222
237	0.8169195566
238	0.8140612727
239	0.8119206351
240	0.8088486563
241	0.8080327153
242	0.8059989222
243	0.8042746593
244	0.8013348143
245	0.7981905885
246	0.7962352842
247	0.7918089966
248	0.7902373546
249	0.7879057648
250	0.7851666896
251	0.782871471
252	0.7808955673
253	0.7785888613
254	0.7767192139
255	0.7728897909
256	0.7706775216
257	0.7677252834
258	0.7664891027
259	0.7649392607
260	0.7629754555
261	0.7597610545
262	0.7566034068
263	0.7534699871
264	0.7512403996
265	0.7492328843
266	0.746430259
267	0.7447902999
268	0.7432808619
269	0.7406078064
270	0.7390707071
271	0.7371180252
272	0.7348207589
273	0.7324376007
274	0.7300004771
275	0.7269221049
276	0.7234483954
277	0.7215204642
278	0.7186837841
279	0.7180547858
280	0.7156283069
281	0.7126070734
282	0.7110562622
283	0.7074203817
284	0.7055496563
285	0.7045370595
286	0.7032965207
287	0.7008402647
288	0.6978025609
289	0.6964086674
290	0.6940493833
291	0.6923958618
292	0.6913180678
293	0.6887267509
294	0.6881610228
295	0.6865774898
296	0.6839679179
297	0.682292357
298	0.681076442
299	0.6787778153
300	0.6773013486
301	0.6763299494
302	0.6744100665
303	0.6717325837
304	0.6701071967
305	0.6682339906
306	0.6664873766
307	0.6657154771
308	0.6632248545
309	0.6604082292
310	0.6584752062
311	0.6560110757
312	0.6546280893
313	0.6529999391
314	0.650192671
315	0.6484684644
316	0.6478649725
317	0.6448305849
318	0.6424989029
319	0.6419420353
320	0.6405362185
321	0.6382817177
322	0.6377271305
323	0.6364190825
324	0.6343324786
325	0.6337978359
326	0.6314028014
327	0.6297796711
328	0.6292465494
329	0.6264849349
330	0.6238294319
331	0.6233235196
332	0.6215010112
333	0.6206568688
334	0.6196960989
335	0.6179207166
336	0.6142604224
337	0.6137856168
338	0.612029658
339	0.6109617396
340	0.608861537
341	0.6076314032
342	0.6050815468
343	0.6034077922
344	0.6027166216
345	0.6022656775
346	0.6000321652
347	0.5983722945
348	0.5961307415
349	0.5940924889
350	0.5921101763
351	0.5895851271
352	0.5881804466
353	0.5862936845
354	0.5841592964
355	0.5812641939
356	0.5795532559
357	0.576985148
358	0.5756801643
359	0.5752499554
360	0.572547777
361	0.5712617055
362	0.5692183056
363	0.566503644
364	0.5658074563
365	0.5655460298
366	0.5628916141
367	0.5609530158
368	0.5584760855
369	0.5569175319
370	0.5548852111
371	0.5536447003
372	0.551095175
373	0.549837516
374	0.5478004283
375	0.5474624041
376	0.5463724766
377	0.5454072019
378	0.5428234401
379	0.5412436851
380	0.5396403295
381	0.5367589096
382	0.5347373224
383	0.5343942899
384	0.5324572903
385	0.5309075314
386	0.5305871244
387	0.5295864608
388	0.5273631088
389	0.5270285482
390	0.5257619348
391	0.5242848654
392	0.5224295724
393	0.5205724746
394	0.5185049481
395	0.5169165731
396	0.5149415174
397	0.513646326
398	0.5130605776
399	0.5127190895
400	0.5112172995
401	0.5109831199
402	0.5090087833
403	0.5081637725
404	0.5078790954
405	0.5055210547
406	0.5037179281
407	0.5011630854
408	0.4996661335
409	0.4976335597
410	0.4962626187
411	0.4957453209
412	0.4940797329
413	0.4935120204
414	0.4925608987
415	0.4912816048
416	0.49023898
417	0.4898774253
418	0.4886891841
419	0.4882732092
420	0.4858517221
421	0.485332281
422	0.4843279855
423	0.4834712167
424	0.483011503
425	0.4814553497
426	0.4796570487
427	0.4785656466
428	0.4768728632
429	0.4752238928
430	0.4738522658
431	0.4715861326
432	0.4712975682
433	0.4709620818
434	0.4699839538
435	0.4691628681
436	0.4689982204
437	0.4678125297
438	0.4657091092
439	0.4643226993
440	0.4632229991
441	0.4619535374
442	0.4604127233
443	0.4590654691
444	0.4582984621
445	0.4566500205
446	0.4557493229
447	0.4547214196
448	0.4534725511
449	0.4524595546
450	0.4522494811
451	0.4511863652
452	0.4498333448
453	0.44902798
454	0.4472204159
455	0.4456811934
456	0.4432498513
457	0.4418536265
458	0.4399174199
459	0.4397881241
460	0.4383890493
461	0.4377314514
462	0.4375661556
463	0.4359276935
464	0.4343584692
465	0.4326495718
466	0.4318435076
467	0.4315621544
468	0.4302453204
469	0.4297647184
470	0.4290428049
471	0.4276346392
472	0.4256440988
473	0.4238368219
474	0.4217569763
475	0.4201430816
476	0.4186022974
477	0.4182415795
478	0.4172865929
479	0.4167829106
480	0.4164777337
481	0.4157647417
482	0.4136503051
483	0.4121490728
484	0.4106810707
485	0.4096993349
486	0.4079691267
487	0.4070968663
488	0.405668837
489	0.4055704532
490	0.4041134862
491	0.402255252
492	0.4006751974
493	0.3997270795
494	0.3993766854
495	0.3992162335
496	0.398155798
497	0.3975915174
498	0.3974007587
499	0.3971815629
500	0.3958123087
501	0.3944509552
502	0.3933271396
503	0.3925799334
504	0.3919567117
505	0.3916823213
506	0.390460776
507	0.3901767596
508	0.3890946703
509	0.3886988567
510	0.3872772839
511	0.3870413393
512	0.386762973
513	0.3853725451
514	0.3852190679
515	0.3845943792
516	0.3844816441
517	0.3834935445
518	0.3831382595
519	0.3820663415
520	0.3816957497
521	0.3797785053
522	0.378624659
523	0.3769393872
524	0.3760871611
525	0.375165267
526	0.3747033932
527	0.3743695726
528	0.3739194376
529	0.3738606547
530	0.3724226507
531	0.3715369581
532	0.3703673756
533	0.3694871781
534	0.3677039224
535	0.3673387378
536	0.3659172071
537	0.3651062595
538	0.3642730032
539	0.3631987026
540	0.3630824341
541	0.3624258719
542	0.3616507803
543	0.3602754069
544	0.3594510497
545	0.3592447592
546	0.3591271225
547	0.35801411
548	0.3578063154
549	0.3575484305
550	0.3560325065
551	0.3549874245
552	0.3535850343
553	0.3529934927
554	0.351385069
555	0.3508688539
556	0.3507595303
557	0.3495765175
558	0.3480819157
559	0.3468971371
560	0.3458301066
561	0.345573459
562	0.345473072
563	0.3446851443
564	0.3435408681
565	0.3430528453
566	0.342235232
567	0.3411589623
568	0.3410660764
569	0.3402172096
570	0.339511869
571	0.3390340417
572	0.337731715
573	0.3365688287
574	0.3359968816
575	0.3358960555
576	0.3349085157
577	0.3336320308
578	0.3317224614
579	0.3316134314
580	0.3315308276
581	0.3309340338
582	0.3293620487
583	0.3288903925
584	0.3273318534
585	0.3257234141
586	0.3253247596
587	0.3248790143
588	0.3239702922
589	0.3227477362
590	0.3226710919
591	0.3222632706
592	0.3215529738
593	0.3213024186
594	0.3204591257
595	0.3197803308
596	0.3196557469
597	0.3195524949
598	0.3186933342
599	0.3181937006
600	0.3181414371
601	0.3171260022
602	0.3159549664
603	0.3152375098
604	0.3145892858
605	0.3137727816
606	0.3124221721
607	0.3110435175
608	0.3106038698
609	0.3097523795
610	0.3082035306
611	0.3074142363
612	0.3070761342
613	0.3060016106
614	0.3051127242
615	0.3048011044
616	0.30351303
617	0.3021982715
618	0.301178854
619	0.3002783565
620	0.2994878605
621	0.2986652418
622	0.2983985409
623	0.2971860002
624	0.295964686
625	0.2948053644
626	0.2937336823
627	0.2929334565
628	0.2916103042
629	0.291040074
630	0.2897513346
631	0.2891575726
632	0.2887791148
633	0.287440476
634	0.2864061011
635	0.2851954607
636	0.284791133
637	0.2836158491
638	0.282625506
639	0.2817831817
640	0.2814729235
641	0.2805716381
642	0.279599495
643	0.2784092751
644	0.2781282914
645	0.2777770082
646	0.2770580464
647	0.2761260602
648	0.2755151539
649	0.2746348149
650	0.2735542606
651	0.272894202
652	0.2718470794
653	0.2709116408
654	0.270804626
655	0.2702347049
656	0.269764508
657	0.2695041147
658	0.2687475937
659	0.2677829409
660	0.2674673342
661	0.2673661088
662	0.2664623888
663	0.2657335933
664	0.2656223031
665	0.2646329356
666	0.2645166985
667	0.2642204738
668	0.2635179783
669	0.2627015199
670	0.2618546102
671	0.2611529707
672	0.2599084345
673	0.2594034256
674	0.2586867523
675	0.2584185211
676	0.2573227926
677	0.2568157052
678	0.2559325222
679	0.2557084593
680	0.2552399453
681	0.254579693
682	0.2538029415
683	0.2533946674
684	0.2522765615
685	0.2514494117
686	0.2506006574
687	0.2502298698
688	0.2497098297
689	0.2488042331
690	0.2481235185
691	0.2478057145
692	0.2468659584
693	0.2465041011
694	0.2457772698
695	0.2455730553
696	0.2454290311
697	0.2448042219
698	0.2444724854
699	0.2435663253
700	0.2425293358
701	0.2423197933
