iter	Passed	Remaining
0	5	5225
1	8	4437
2	12	4228
3	13	3411
4	17	3437
5	19	3286
6	23	3323
7	26	3283
8	27	3033
9	28	2823
10	30	2749
11	31	2612
12	35	2723
13	36	2589
14	40	2671
15	44	2726
16	48	2787
17	50	2776
18	55	2846
19	58	2850
20	61	2843
21	61	2756
22	65	2788
23	69	2841
24	73	2878
25	78	2923
26	82	2971
27	86	2989
28	87	2943
29	90	2937
30	93	2932
31	98	2981
32	101	2985
33	104	2980
34	107	2974
35	111	2988
36	114	2982
37	117	2986
38	121	2990
39	124	2999
40	129	3020
41	131	3006
42	135	3012
43	140	3054
44	145	3097
45	152	3156
46	157	3202
47	165	3277
48	170	3299
49	176	3352
50	181	3370
51	187	3414
52	195	3495
53	199	3494
54	203	3501
55	208	3511
56	210	3488
57	213	3470
58	217	3467
59	219	3444
60	222	3424
61	225	3417
62	228	3403
63	232	3394
64	234	3375
65	237	3357
66	239	3341
67	244	3347
68	248	3348
69	251	3346
70	255	3344
71	259	3338
72	262	3331
73	265	3319
74	269	3323
75	272	3315
76	275	3298
77	278	3297
78	282	3290
79	284	3274
80	288	3272
81	290	3252
82	295	3265
83	300	3274
84	302	3259
85	304	3240
86	308	3236
87	311	3226
88	313	3209
89	316	3204
90	319	3189
91	321	3173
92	325	3173
93	329	3171
94	331	3156
95	334	3149
96	336	3134
97	339	3126
98	343	3126
99	345	3113
100	348	3102
101	351	3091
102	355	3095
103	358	3085
104	360	3074
105	364	3070
106	368	3071
107	372	3080
108	376	3080
109	381	3084
110	385	3086
111	387	3075
112	391	3069
113	393	3056
114	395	3043
115	397	3030
116	401	3031
117	405	3029
118	408	3027
119	413	3032
120	417	3035
121	421	3031
122	424	3029
123	428	3024
124	431	3018
125	435	3022
126	440	3027
127	445	3032
128	450	3041
129	454	3042
130	457	3034
131	460	3027
132	464	3026
133	470	3038
134	473	3034
135	477	3036
136	482	3037
137	485	3033
138	489	3034
139	493	3031
140	498	3035
141	501	3030
142	505	3028
143	508	3019
144	513	3024
145	517	3025
146	520	3022
147	525	3022
148	528	3020
149	531	3012
150	535	3012
151	539	3011
152	542	3004
153	545	2996
154	548	2990
155	550	2978
156	554	2976
157	559	2980
158	562	2975
159	565	2970
160	568	2961
161	570	2952
162	573	2947
163	577	2943
164	579	2935
165	582	2924
166	586	2923
167	589	2918
168	591	2909
169	595	2905
170	597	2896
171	599	2888
172	603	2886
173	606	2878
174	608	2870
175	612	2867
176	614	2858
177	618	2856
178	621	2852
179	624	2842
180	626	2833
181	628	2825
182	633	2827
183	637	2825
184	639	2819
185	642	2812
186	646	2808
187	649	2804
188	652	2797
189	656	2796
190	659	2795
191	663	2790
192	667	2790
193	671	2789
194	674	2784
195	680	2789
196	687	2801
197	693	2807
198	700	2818
199	706	2827
200	711	2830
201	715	2826
202	718	2819
203	720	2810
204	723	2805
205	727	2802
206	729	2793
207	731	2786
208	734	2778
209	736	2770
210	738	2760
211	741	2756
212	744	2750
213	746	2741
214	748	2732
215	750	2725
216	753	2719
217	757	2717
218	761	2714
219	763	2706
220	765	2696
221	766	2687
222	769	2682
223	773	2679
224	775	2672
225	778	2666
226	781	2661
227	784	2655
228	788	2654
229	791	2649
230	793	2641
