iter	RMSE
0	1.903107649
1	1.88601918
2	1.869044807
3	1.854977028
4	1.837094192
5	1.819380638
6	1.799146815
7	1.784519607
8	1.766929444
9	1.749494814
10	1.73427122
11	1.720777283
12	1.705040641
13	1.685077764
14	1.668747518
15	1.651077301
16	1.639204836
17	1.62721836
18	1.613155465
19	1.60151107
20	1.59015053
21	1.580455195
22	1.56702091
23	1.554288219
24	1.540283972
25	1.529164168
26	1.517370863
27	1.506040809
28	1.494883516
29	1.483349563
30	1.471409023
31	1.46007787
32	1.448874679
33	1.437892921
34	1.427865475
35	1.416779254
36	1.403405258
37	1.391348473
38	1.381952074
39	1.373534752
40	1.363852123
41	1.355301186
42	1.346992943
43	1.335877268
44	1.324104621
45	1.315023881
46	1.304972941
47	1.295702286
48	1.28593731
49	1.277503807
50	1.272655243
51	1.264100817
52	1.254128148
53	1.246449955
54	1.238253641
55	1.230219135
56	1.221146376
57	1.213237526
58	1.20703858
59	1.199701979
60	1.192389274
61	1.184428271
62	1.175775785
63	1.169941351
64	1.162565492
65	1.15621088
66	1.149411442
67	1.143199541
68	1.139168198
69	1.131535773
70	1.125035352
71	1.118844508
72	1.111413136
73	1.10440592
74	1.098533422
75	1.090470375
76	1.084262527
77	1.078165948
78	1.073049303
79	1.067607434
80	1.063004295
81	1.056910694
82	1.05238307
83	1.045328545
84	1.038639219
85	1.03273961
86	1.026472574
87	1.020593576
88	1.015244313
89	1.009829758
90	1.004844036
91	1.001745418
92	0.9967490254
93	0.9918690592
94	0.9872992919
95	0.9838285245
96	0.9775676756
97	0.9752570102
98	0.971147951
99	0.9666681651
100	0.9611129193
101	0.9569246854
102	0.9505923171
103	0.9456966479
104	0.9410297865
105	0.9361339177
106	0.9295402087
107	0.9249666583
108	0.9190774041
109	0.9144618498
110	0.9106910023
111	0.9061996522
112	0.901645102
113	0.8981425228
114	0.8926694915
115	0.8889489264
116	0.8852533883
117	0.8803768825
118	0.8776012776
119	0.8732977961
120	0.868490391
121	0.864641893
