iter	RMSE
0	1.898549516
1	1.8836366
2	1.868628916
3	1.853704535
4	1.84167916
5	1.828658391
6	1.813465531
7	1.800225153
8	1.788330747
9	1.776865944
10	1.765371398
11	1.75443837
12	1.743021417
13	1.732249941
14	1.718552419
15	1.706367347
16	1.692954986
17	1.683107884
18	1.670192773
19	1.65805406
20	1.647953891
21	1.634641937
22	1.624043502
23	1.613861353
24	1.601200575
25	1.588778865
26	1.5780017
27	1.568079965
28	1.557502518
29	1.548355331
30	1.536862195
31	1.526718562
32	1.514158816
33	1.501802846
34	1.491958826
35	1.480853061
36	1.474361726
37	1.465044709
38	1.457063711
39	1.448836311
40	1.437577142
41	1.428930005
42	1.420089816
43	1.408404035
44	1.397980135
45	1.3902937
46	1.380225218
47	1.37165727
48	1.361812112
49	1.354552461
50	1.345972898
51	1.335722533
52	1.329958383
53	1.321375278
54	1.31193656
55	1.304345703
56	1.295219087
57	1.290246136
58	1.284645882
59	1.276847937
60	1.268126924
61	1.260885079
62	1.253699488
63	1.246375009
64	1.241184815
65	1.232669282
66	1.225809448
67	1.220920455
68	1.213967961
69	1.207334105
70	1.200097422
71	1.192193975
72	1.186346643
73	1.180705592
74	1.174127001
75	1.16703472
76	1.160832723
77	1.154418299
78	1.148389616
79	1.143716826
80	1.13742124
81	1.131924447
82	1.126023656
83	1.119629825
84	1.112122239
85	1.105777946
86	1.09971764
87	1.0918535
88	1.084552287
89	1.0806262
90	1.073547093
91	1.065582441
92	1.060626086
93	1.053450617
94	1.04714456
95	1.040450263
96	1.036323946
97	1.029070641
98	1.02490335
99	1.019775155
100	1.015754447
101	1.01098526
102	1.005569453
103	0.9987955108
104	0.9913152405
105	0.9861172937
106	0.9804780214
107	0.9758293787
108	0.9695250369
109	0.965831874
110	0.9597674352
111	0.9552115525
112	0.94862195
113	0.9430479859
114	0.9381606582
115	0.9321203061
116	0.9277142341
117	0.9211280047
118	0.917634016
119	0.9139806326
120	0.9076193659
121	0.9016287849
122	0.8984666559
123	0.894064596
124	0.8902062459
125	0.8853059683
126	0.8794749406
127	0.8737270155
128	0.87058615
129	0.8670606704
130	0.8610327469
131	0.8602543989
132	0.8561460486
133	0.8514918479
134	0.8459006939
135	0.8416995461
136	0.8351143243
137	0.8301116169
138	0.8280861935
139	0.8241894454
140	0.819419036
141	0.814474366
142	0.8089601477
143	0.8040078471
144	0.7990500529
145	0.7952323407
146	0.790170252
147	0.7863225958
148	0.7844404514
149	0.7793463574
150	0.7755697647
151	0.7708690914
152	0.7669403373
153	0.7639201197
154	0.7606732546
155	0.7573519532
156	0.7519977819
157	0.7477776694
158	0.7446350393
159	0.740627607
160	0.7357361925
161	0.731973457
162	0.7265811969
163	0.7239472375
164	0.7193288085
165	0.7149911463
166	0.710196301
167	0.7088353759
168	0.703530461
169	0.6999348749
170	0.6967451061
171	0.6929217525
172	0.6873843479
173	0.6836392448
174	0.6799255492
175	0.6770971604
176	0.674023555
177	0.6689753031
178	0.6651644655
179	0.6622538793
180	0.6606871786
181	0.6563028221
182	0.6527874778
183	0.6496416321
184	0.6457983602
185	0.6442276178
186	0.6400793126
187	0.6377092494
188	0.6357177317
189	0.633519349
190	0.6303311791
191	0.6267383575
192	0.6247715246
193	0.6203513354
194	0.6167289849
195	0.6123411343
196	0.6084021641
197	0.6066445733
198	0.603287911
199	0.5999830825
200	0.5958071982
201	0.5940574464
202	0.5900691019
203	0.5857294421
204	0.5815604426
205	0.5791256121
206	0.5770753146
207	0.5728546833
208	0.5694306822
209	0.567168332
210	0.5656491081
211	0.5644736078
212	0.5622809314
213	0.5593552801
214	0.5555719122
215	0.5533151513
216	0.5506663307
217	0.5478859256
218	0.5456788909
219	0.542109915
220	0.539237472
221	0.5373646288
222	0.5341029312
223	0.5320915671
224	0.5277641817
