iter	Passed	Remaining
0	1	1245
1	2	1345
2	4	1448
3	5	1403
4	7	1456
5	8	1488
6	10	1506
7	12	1532
8	14	1550
9	16	1620
10	18	1628
11	19	1632
12	21	1604
13	22	1603
14	23	1546
15	25	1554
16	27	1561
17	30	1666
18	33	1718
19	35	1743
20	37	1743
21	39	1754
22	41	1756
23	43	1766
24	45	1792
25	47	1787
26	49	1782
27	51	1775
28	52	1763
29	54	1764
30	56	1760
31	58	1760
32	60	1765
33	62	1763
34	64	1773
35	65	1761
36	66	1723
37	67	1703
38	68	1692
39	70	1681
40	71	1675
41	73	1671
42	74	1658
43	75	1637
44	76	1619
45	77	1610
46	78	1599
47	80	1587
48	81	1578
49	82	1566
50	83	1556
51	84	1546
52	85	1536
53	87	1524
54	88	1513
55	89	1503
56	90	1492
57	91	1478
58	92	1476
59	93	1471
60	95	1463
61	96	1454
62	97	1446
63	98	1437
64	99	1429
65	100	1422
66	101	1413
67	102	1405
68	103	1402
69	104	1390
70	105	1378
71	106	1370
72	107	1364
73	108	1357
74	109	1350
75	110	1343
76	111	1336
77	112	1330
78	113	1324
79	114	1317
80	115	1311
81	116	1304
82	117	1299
83	118	1296
84	120	1293
85	121	1290
86	122	1286
87	123	1280
88	124	1274
89	125	1269
90	126	1264
91	127	1259
92	128	1254
93	129	1249
94	130	1246
95	131	1238
96	132	1232
97	133	1224
98	133	1216
99	134	1208
100	135	1203
101	136	1198
102	137	1193
103	137	1188
104	138	1183
105	139	1178
106	140	1174
107	141	1169
108	142	1164
109	143	1159
110	144	1154
111	144	1149
112	145	1144
113	146	1139
114	147	1136
115	148	1131
116	149	1126
117	150	1121
118	150	1116
119	151	1110
120	152	1105
121	152	1100
122	153	1096
123	154	1092
124	155	1088
125	156	1084
126	157	1080
127	157	1075
128	158	1072
129	159	1068
130	160	1064
131	160	1057
132	161	1053
133	162	1050
134	163	1045
135	163	1041
136	164	1037
137	165	1032
138	166	1028
139	166	1024
140	167	1020
141	168	1016
142	168	1012
143	169	1008
144	170	1004
145	171	1000
146	171	996
147	172	992
148	172	987
149	173	984
150	174	980
151	175	976
152	175	973
153	176	969
154	177	966
155	177	961
156	178	957
157	179	954
158	179	950
159	180	947
160	181	944
161	181	941
162	182	937
163	183	934
164	184	931
165	184	928
166	185	925
167	186	922
168	186	919
169	187	915
170	188	912
171	189	909
172	189	907
173	190	904
174	191	902
175	192	900
176	192	897
177	193	894
178	194	892
179	195	889
180	196	887
181	196	885
182	197	882
183	198	880
184	199	878
185	200	875
186	200	873
187	201	870
188	202	867
189	202	865
190	203	863
191	204	860
192	205	858
193	205	855
194	206	853
195	207	851
196	208	849
197	209	846
198	209	844
199	210	842
200	211	840
201	212	838
202	212	835
203	213	833
204	214	832
205	215	831
206	216	830
207	217	828
208	218	825
209	218	823
210	219	821
211	220	819
212	221	816
213	221	815
214	222	813
215	223	810
216	223	808
217	224	805
218	225	803
219	225	801
220	226	799
221	227	796
222	228	794
223	228	792
224	229	790
225	230	788
226	230	786
227	231	784
228	232	782
229	233	781
230	234	781
231	235	780
232	236	779
233	237	777
234	238	774
235	238	772
236	239	770
237	240	768
238	240	766
239	241	764
240	241	761
241	242	759
242	243	757
243	243	755
244	244	753
245	245	751
246	245	749
247	246	747
248	247	745
249	247	743
250	248	741
251	249	739
252	249	737
253	250	736
254	251	734
255	252	732
256	252	730
257	253	728
258	254	726
259	254	724
260	255	722
261	255	721
262	256	719
263	257	717
264	257	715
265	258	713
266	259	711
267	259	709
268	260	707
269	261	706
270	261	704
271	262	702
272	262	700
273	263	698
274	264	697
275	265	695
276	266	694
277	266	692
278	267	690
279	267	688
280	268	687
281	269	685
282	269	683
283	270	681
284	271	680
285	271	678
286	272	676
287	273	674
288	273	673
