iter	RMSE
0	1.943309912
1	1.923531485
2	1.907825585
3	1.893962318
4	1.877047507
5	1.860759002
6	1.846513916
7	1.830678653
8	1.819933368
9	1.809821396
10	1.79809189
11	1.788738021
12	1.774756095
13	1.766624114	14	1.75354715	1.74391912
16	1.16	1.7280517	1.17	1.7161218	1.713837764
19	1.701496472
20	1.693358511
21	1.687821786
22	1.676675892
23	1.23	1.6550324	1.24	1.6460725	1.25	1.6355826	1.26	1.62563467
27	1.61555769
28	1.60514292929	1.595269513030	1.5866940731	1.586148632
32	1.580228278
33	1.57145273
34	1.562884856
35	1.56005485
36	1.550824134
37	137	1.5333038	1.38	1.5271739	1.39	1.5200940	1.40	1.5114941	1.41	1.502814628
42	1.495185297
43	1.490081209
44	1.486592846
45	1.479783123
46	1.47388758
47	1.470341503
48	1.46584663
49	1.459796926
50	1.452739075
51	1.447070084
52	1.442935914
53	1.437898614
54	1.432955931
55	1.42577023
56	1.418852338
57	1.414049199
58	1.410909799
59	1.40647504
60	1.402206825
61	1.396389
62	1.391985328
63	1.388575376
64	1.385849171
65	1.381589583
66	1.374626865
67	1.372110762
68	1.368277856
69	1.361379966
70	1.354634599
71	1.350806757
72	1.345833954
73	1.341750072
74	1.336604375
75	1.330247597
76	1.326363971
77	1.320720478
78	1.318401491
79	1.315540693
80	1.311802178
81	1.308899989
82	1.306774071
83	1.30376046
84	1.29861557
85	1.29781858
86	1.294493633
87	1.290126992
88	1.286090461
89	1.283285895
90	1.279875694
91	1.276222794
92	1.272698881
93	1.268618637
94	1.26522095
95	1.262361988
96	1.260088472
97	1.256313924
98	1.25233089
99	1.248165244
100	1.245773933
101	1.243038662
102	1.240975357
103	1.236826374
104	1.232704531
105	1.229994056
106	1.225304905
107	1.22218562
108	1.217685335
109	1.213436788
110	1.211300967
111	1.206904965
112	1.203839262
113	1.20046085
114	1.19624744
115	1.192984176
116	1.190979731
117	1.187861657
118	1.185555449
119	1.183220975
120	1.180261926
121	1.177428509
122	1.17325436
123	1.169484837
124	1.165416856
125	1.162147085
126	1.160489146
127	1.156786935
128	1.153566588
129	1.151205559
130	1.146256672
131	1.143704927
132	1.140608138
133	1.136933384
134	1.134019883
135	1.132863289
136	1.130603108
137	1.126854706
138	1.123288748
139	1.121212984
140	1.118052235
141	1.113985867
142	1.111503237
143	1.108920144
144	1.104991107
145	1.10194201
146	1.098887002
147	1.094777005
148	1.092189927
149	1.089911725
150	1.087678976
151	1.085157649
152	1.082515912
153	1.079185036
154	1.07766927
155	1.074616176
156	1.071708339
157	1.069437415
158	1.066199448
159	1.063078858
160	1.060717494
161	1.056831708
162	1.054390371
163	1.050217983
164	1.046415948
165	1.043804993
166	1.040840566
167	1.037302922
168	1.033897075
169	1.030814445
170	1.02827355
171	1.025781468
172	1.023486116
173	1.020462692
174	1.016760889
175	1.01517689
176	1.011610836
177	1.0085826
178	1.005529099
179	1.003231345
180	0.999349431
181	0.9975035817
182	0.994968655
183	0.9917913391
184	0.9892545141
185	0.9870987413
186	0.9843356321
187	0.9819101801
188	0.9788781416
189	0.9768326591
190	0.9745039476
191	0.9709127875
192	0.9690078061
193	0.9676130976
194	0.9653027709
195	0.9635069518
196	0.9607833648
197	0.9591420356
198	0.9566536958
199	0.954369091
200	0.950322876
201	0.9488304798
202	0.9462226383
203	0.9434459854
204	0.9404722748
205	0.9369567406
206	0.9340681167
207	0.931529591
208	0.9294048236
209	0.9266323363
210	0.9239009125
211	0.9210513981
212	0.918713861
213	0.9154247354
214	0.9133263304
215	0.9102730903
216	0.9069362049
217	0.9045382654
218	0.9017281123
219	0.8998697663
220	0.8972191813
221	0.8944060016
222	0.8926692984
223	0.8901847621
224	0.8874172049
225	0.8848599663
226	0.8830126991
227	0.87981029
228	0.8757274962
229	0.8717137139
230	0.8690935344
231	0.8664389869
232	0.863703573
233	0.8614143186
234	0.8593342383
235	0.8557804988
236	0.8522376928
237	0.8499153228
238	0.8476844766
239	0.8454783345
240	0.8434481946
241	0.8413499234
242	0.8388397769
243	0.8360050782
244	0.8342003019
245	0.830478514
246	0.8273228287
247	0.8257401113
248	0.8237730102
249	0.8215696667
250	0.8190064432
251	0.8162235031
252	0.8139146248
253	0.8121253609
254	0.8104084979
255	0.8067888805
256	0.80472336
257	0.8022196957
258	0.7990305245
259	0.7967906295
260	0.7942674087
261	0.791543223
262	0.7879981889
263	0.7857875016
264	0.784364354
265	0.7816450385
266	0.779758661
267	0.7773921094
268	0.7745418418
269	0.7729292466
270	0.7708648053
271	0.767901966
272	0.7655839586
273	0.7634601648
274	0.7614115675
275	0.7594381617
276	0.7578940496
277	0.755188872
278	0.7522521542
279	0.750300795
280	0.7487946295
281	0.7469516847
282	0.7454473649
283	0.742713875
284	0.7405154319
285	0.7389827035
286	0.7370151867
287	0.73476247
288	0.7326070922
289	0.7303614631
290	0.7280259994
291	0.7255209407
292	0.7240507174
293	0.7217625939
294	0.7198194689
295	0.7185947471
296	0.71587226
297	0.7144044952
298	0.7119807385
299	0.7104414758
300	0.7082161256
301	0.7070403959
302	0.7036342497
303	0.7018033189
304	0.6995312
305	0.6981381311
306	0.6960037578
307	0.6941316357
308	0.6916544162
309	0.6899976696
310	0.6866916491
311	0.6841329388
312	0.6813806297
313	0.6790031972
314	0.6773475305
315	0.675682472
316	0.6733473293
317	0.6711505669
318	0.6689045917
319	0.6674524677
320	0.6650144564
321	0.6627095247
322	0.6609984988
323	0.6593485032
324	0.6567956121
325	0.6551200823
326	0.6529477179
327	0.6516370109
328	0.6497205027
329	0.6483443935
330	0.6462340683
331	0.6451134428
332	0.642852684
333	0.6412689865
334	0.6394498463
335	0.6378550591
336	0.6364455445
337	0.6352635962
338	0.6329374359
339	0.6309433548
340	0.6297676881
341	0.6279521693
342	0.6269035544
343	0.6248959635
344	0.6234495413
345	0.6216631025
346	0.6203681217
347	0.6184421891
348	0.6161837672
349	0.6139604334
350	0.6125957057
351	0.6110992427
352	0.6097415686
353	0.6081020843
354	0.6062369804
355	0.603558459
356	0.601426284
357	0.5995119939
358	0.5977789053
359	0.5960901659
360	0.5937057922
361	0.5934120097
362	0.5915335486
363	0.5900308675
364	0.5887348256
365	0.587117383
366	0.5854617443
367	0.5833616594
368	0.5815875594
369	0.5805392532
370	0.5788706199
371	0.577447228
372	0.5754795625
373	0.573412854
374	0.5715264226
375	0.5710443274
376	0.5698007846
377	0.5683470764
378	0.5681420784
379	0.5667572631
380	0.5651922336
381	0.5634763736
382	0.5616374048
383	0.5598097451
384	0.5584254165
385	0.5569789314
386	0.5558388251
387	0.5544864669
388	0.5534910046
389	0.553256214
390	0.5520855945
391	0.5510482848
392	0.5495974525
393	0.5475386563
394	0.5457092636
395	0.5444556669
396	0.542886005
397	0.5409418973
398	0.5397450065
399	0.5390001186
400	0.5376279802
401	0.5364552424
402	0.5338184994
403	0.5329379252
404	0.531511951
405	0.5299584861
406	0.5280780616
407	0.5247248077
408	0.5236307358
409	0.5225130288
410	0.5216282021
411	0.5204821213
412	0.5191890886
413	0.5186532563
414	0.5174354053
415	0.5172815946
416	0.516215263
417	0.5138152913
418	0.513264359
419	0.5131219653
420	0.5118705883
421	0.5114654398
422	0.5100946918
423	0.508476317
424	0.5067787977
425	0.5058430523
426	0.5049535759
427	0.5040640982
428	0.5026328544
429	0.5011491458
430	0.4994790424
431	0.4982214969
432	0.4961676584
433	0.4949727365
434	0.4931590563
435	0.4914333884
436	0.4904728709
437	0.4902971609
438	0.488840726
439	0.4875160535
440	0.486017511
441	0.4848068982
442	0.4837934071
443	0.4828064707
444	0.4812495679
445	0.4797248248
446	0.4786203101
447	0.4784617903
448	0.4775369891
449	0.4770756599
450	0.4762190183
451	0.4750900793
452	0.4749064451
453	0.474769749
454	0.4739976069
455	0.4719470335
456	0.4701535446
457	0.4687077488
458	0.4673112606
459	0.4658469014
460	0.4640755174
461	0.463522582
462	0.4621845772
463	0.4605814517
464	0.4596703449
465	0.4583165518
466	0.4566987708
467	0.4554053278
468	0.454203311
469	0.4527606091
470	0.4524185933
471	0.4522292078
472	0.4510530839
473	0.449528939
474	0.4478919895
475	0.4474422416
476	0.4460402383
477	0.4446319859
478	0.4433663699
479	0.4416958305
480	0.4407208753
481	0.4397365536
482	0.4387985662
483	0.4375807535
484	0.4366677775
485	0.4356194101
486	0.4344965231
487	0.4333009723
488	0.432713997
489	0.4318173299
490	0.4312477327
491	0.4296639666
492	0.428890562
493	0.4273903777
494	0.4262522303
495	0.4250155956
496	0.424871171
497	0.4240378715
498	0.4230245784
499	0.4214083209
500	0.4207140685
501	0.419286305
502	0.4188292847
503	0.4173786035
504	0.4172424736
505	0.416220496
506	0.4151019598
507	0.414938778
508	0.4145465938
509	0.4130360114
510	0.4113212231
511	0.4107936181
512	0.4093086315
513	0.4080988467
514	0.4075711069
515	0.4060705478
516	0.4047040701
517	0.4035618864
518	0.4033753284
519	0.4020049615
520	0.4012466782
521	0.4005652365
522	0.3992506479
523	0.3982292437
524	0.3967477252
525	0.3965984998
526	0.3958299277
527	0.3945612232
528	0.3938344638
529	0.3920607986
530	0.3914284708
531	0.3912474413
532	0.3901412697
533	0.3891583144
534	0.3882390948
535	0.3872879507
536	0.3871651776
537	0.3861884819
538	0.3860638586
539	0.3849200969
540	0.3846223958
541	0.3832804759
542	0.3830517507
543	0.3816686987
544	0.3812296072
545	0.3803550416
546	0.3797043582
547	0.3791866624
548	0.3780777024
549	0.37770927
550	0.3768008249
551	0.3760573648
552	0.3752532489
553	0.3746428195
554	0.3735405181
555	0.3720339376
556	0.3704877354
557	0.3689419669
558	0.3676050147
559	0.3662620596
560	0.3650771971
561	0.3640495839
562	0.3631270196
563	0.3617396013
564	0.3605144736
565	0.3595291718
566	0.3593484088
567	0.3589046584
568	0.3587598986
569	0.3576353515
570	0.356921207
571	0.3562489226
572	0.3553031211
573	0.3543386937
574	0.3542284731
575	0.353367254
576	0.353256446
577	0.3526633896
578	0.3518332742
579	0.3508247328
580	0.3507239994
581	0.3502238381
582	0.3501091833
583	0.3491257905
584	0.3482324791
585	0.3473254808
586	0.3461259364
587	0.3452209071
588	0.344799301
589	0.3440953334
