iter	Passed	Remaining
0	10	10239
1	25	12632
2	36	12280
3	38	9505
4	48	9722
5	53	8848
6	60	8608
7	68	8488
8	71	7870
9	74	7416
10	81	7369
11	84	6989
12	91	6961
13	94	6678
14	105	6898
15	118	7316
16	134	7775
17	153	8363
18	191	9873
19	205	10083
219	229	11259220	235	109922	234	9973
23	247	10082
24	259	10134
25	271	10173
26	285	10273
27	295	10248
28	311	10416
29	318	10305
30	330	10326
31	341	10338
32	31	348	10533	32	362	10611
33	369	10499
34	381	1036	377	9814
37	385	9770
38	393	9691
39	403	9686
40	416	9731
41	428	9767
42	450	10033
43	467	10163
44	484	10277
45	498	10338
46	513	10404
47	519	10298
48	531	10321
49	542	10314
50	631	11742
51	644	11743
52	670	11980
53	683	11975
54	698	12006
55	709	11965
56	722	11949
57	730	11869
58	740	11808
59	754	11819
60	765	11777
61	772	11687
62	785	11675
63	798	11683
64	826	11882
65	835	11818
66	846	11783
67	852	11685
68	863	11647
69	875	11630
70	886	11602
71	929	11982
72	958	12171
73	966	12097
74	976	12044
75	987	12005
76	997	11961
77	1007	11910
78	1020	11893
79	1032	11874
80	1039	11797
81	1047	11727
82	1059	11700
83	1069	11666
84	1081	11645
85	1095	11639
86	1110	11652
87	1115	11562
88	1126	11527
89	1136	11486
90	1143	11422
91	1152	11373
92	1162	11338
93	1174	11315
94	1183	11269
95	1193	11241
96	1202	11193
97	1212	11156
98	1221	11119
99	1233	11104
100	1254	11166
101	1268	11163
102	1278	11132
103	1286	11082
104	1297	11061
105	1310	11052
106	1340	11185
107	1349	11142
108	1402	11467
109	1411	11422
110	1420	11374
111	1434	11372
112	1445	11346
113	1453	11297
114	1464	11273
115	1473	11231
116	1480	11173
117	1498	11200
118	1510	11184
119	1521	11160
120	1530	11121
121	1541	11094
122	1550	11058
123	1559	11018
124	1573	11017
125	1580	10965
126	1589	10928
127	1599	10898
128	1608	10858
129	1618	10834
130	1629	10810
131	1635	10755
132	1658	10813
133	1667	10779
134	1675	10733
135	1685	10707
136	1702	10723
137	1713	10705
138	1722	10670
139	1730	10632
140	1741	10608
141	1750	10574
142	1762	10564
143	1771	10530
144	1782	10510
145	1811	10593
