iter	RMSE
0	1.954044375
1	1.934450536
2	1.918744479
3	1.904451827
4	1.888201923
5	1.870781239
6	1.853230541
7	1.83766937
8	1.826631967
9	1.816246848
10	1.805460067
11	1.796403919
12	1.782285874
13	1.770319688
14	1.755707006
15	1.7428644
16	1.729194549
17	1.72036274
18	1.713750902
19	1.703204384
20	1.697292921
21	1.686246078
22	1.673445812
23	1.663400076
24	1.652715689
25	1.644157086
26	1.632326756
27	1.621226021
28	1.609386609
29	1.599348795
30	1.58945857
31	1.584823563
32	1.578502591
33	1.568777948
34	1.561352538
35	1.551750859
36	1.542824289
37	1.535334038
38	1.526762331
39	1.518957376
40	1.513011637
41	1.506995794
42	1.500956026
43	1.494037821
44	1.487694026
45	1.483459811
46	1.47728977
47	1.469089822
48	1.460215867
49	1.452225917
50	1.445128852
51	1.439808829
52	1.436101699
53	1.431338165
54	1.424224856
55	1.416693488
56	1.413029446
57	1.410424643
58	1.405922276
59	1.398793257
60	1.39293379
61	1.386769966
62	1.383427358
63	1.376664388
64	1.37091829
65	1.366326687
66	1.363088913
67	1.359445088
68	1.356250323
69	1.354682664
70	1.35251158
71	1.348951409
72	1.342977899
73	1.340050098
74	1.335900434
75	1.33232092
76	1.327741583
77	1.324397504
78	1.321012921
79	1.317264825
80	1.312798902
81	1.30849476
82	1.306307562
83	1.303424776
84	1.30013478
85	1.295881761
86	1.291537468
87	1.289645374
88	1.284538483
89	1.280350671
90	1.276145394
91	1.274081641
92	1.27049917
93	1.265983901
94	1.262393663
95	1.258805925
96	1.256303262
97	1.252278962
98	1.248367153
99	1.245038384
100	1.241657431
101	1.238574429
102	1.235392322
103	1.231008949
104	1.229140258
105	1.225241178
106	1.222743528
107	1.219648794
108	1.215269225
109	1.210821129
110	1.207491749
111	1.203404753
112	1.201882848
113	1.20019935
114	1.195981268
115	1.192144087
116	1.19121634
117	1.187809267
118	1.18627519
119	1.183270115
120	1.179694716
121	1.177141409
122	1.175531999
123	1.173572179
124	1.170354687
125	1.167322831
126	1.164642588
127	1.158647197
128	1.154876755
129	1.151899797
130	1.15024372
131	1.147911074
132	1.146177041
133	1.143151734
134	1.139895697
135	1.137462389
136	1.135463774
137	1.132994261
138	1.13107759
139	1.128435818
140	1.125015956
141	1.124684929
142	1.121950972
143	1.118984091
144	1.116458677
145	1.113690274
146	1.110928303
147	1.1081066
148	1.105594454
149	1.102149189
150	1.099282412
151	1.097413331
152	1.095014413
153	1.093538691
154	1.090000326
155	1.087450419
156	1.085193612
157	1.082585685
158	1.079258052
159	1.076566776
160	1.074237391
161	1.072499947
162	1.069127515
163	1.065111594
164	1.062567593
165	1.05926481
166	1.057410421
167	1.054493103
168	1.051590476
169	1.048246425
170	1.044300562
171	1.040921956
172	1.037226201
173	1.033561922
174	1.030923459
175	1.028666342
176	1.026226845
177	1.024057979
178	1.021854766
179	1.019231073
180	1.016584896
181	1.01498467
182	1.011159407
183	1.007524099
184	1.005987213
185	1.002978752
186	1.000698811
187	0.9988868693
188	0.9962873325
189	0.9923765533
190	0.9899189455
191	0.9866582343
192	0.9842454424
193	0.9809988463
194	0.9774675379
195	0.9750371985
196	0.972199101
197	0.9691822826
198	0.967670423
199	0.9649251584
200	0.9638019472
201	0.961448757
202	0.9601584193
203	0.9578083609
204	0.9540836061
205	0.9516030456
206	0.9493497684
207	0.9476488634
208	0.9441022988
209	0.9402015419
210	0.9372720472
211	0.9342940018
212	0.9309178656
213	0.9279779957
214	0.9276233114
215	0.9262109127
216	0.9227988725
217	0.9209831922
218	0.9183657444
219	0.9157346339
220	0.9124898351
221	0.910200364
222	0.9078456209
223	0.904754881
224	0.9021617359
225	0.8992614447
226	0.8961403932
227	0.8945217821
228	0.8922417291
229	0.8900425425
230	0.8881702353
231	0.8843833801
232	0.8804889502
233	0.8773072606
234	0.8757654012
235	0.8728090273
236	0.8702577861
237	0.8674596783
238	0.8651020717
239	0.8622147911
240	0.8611729964
241	0.8586226661
242	0.855781575
243	0.8521626154
244	0.8503631114
245	0.8493224784
246	0.8473204584
247	0.845102159
248	0.8421616083
249	0.8393718208
250	0.8372920381
251	0.8343265193
252	0.831735812
253	0.8295968398
254	0.8274156281
255	0.8248922912
256	0.8215813579
257	0.8191420907
258	0.8171954534
259	0.8136853991
260	0.8113509329
261	0.8090925987
262	0.8060140808
263	0.803174357
264	0.8005510498
265	0.7978507841
266	0.7958770768
267	0.792318986
268	0.791022211
269	0.788725397
270	0.787324004
271	0.7842739735
272	0.7823135483
273	0.779845995
274	0.7781463481
275	0.7751371446
276	0.7734267523
277	0.7713233342
278	0.7694504387
279	0.7678144809
280	0.7652418171
281	0.7625041621
282	0.7598973062
283	0.7574062524
284	0.7557938899
285	0.754039333
286	0.75154464
287	0.7493597496
288	0.7471161437
289	0.7448960811
290	0.7441617481
291	0.7418702946
292	0.739866721
293	0.7385863146
294	0.7363709469
295	0.7343975262
296	0.7341019238
297	0.7312461817
298	0.7302705953
299	0.728157136
300	0.726187378
301	0.7250948014
302	0.7231727718
303	0.7213357082
304	0.7209380721
305	0.7197630828
306	0.718374416
307	0.7162953402
308	0.7145829613
309	0.7127751878
310	0.7098090769
311	0.7091598784
312	0.706741192
313	0.7044661346
314	0.7029662889
315	0.7016687786
316	0.699212279
317	0.697490632
318	0.6957506626
319	0.6953583653
320	0.6935311019
321	0.6916821933
322	0.6901311369
323	0.6886372134
324	0.6869357099
325	0.6854464096
326	0.6841217951
327	0.6805734169
328	0.6786277522
329	0.6761740073
330	0.6737457913
331	0.6713989082
332	0.6687688094
333	0.6663318353
334	0.6648511874
335	0.6645496785
336	0.6629618363
337	0.6611985333
338	0.6609795708
339	0.6591521931
340	0.657469887
341	0.655401416
342	0.6536237815
343	0.6515027828
344	0.6500563518
345	0.6480231068
346	0.6476572353
347	0.6461680892
348	0.6439463893
349	0.6424449717
350	0.6409077543
351	0.6387620711
352	0.6373181031
353	0.6357179874
354	0.6344833802
355	0.6327688869
356	0.6313414586
357	0.6310884344
358	0.6293675781
359	0.6280014108
360	0.6278860076
361	0.6249608043
362	0.62347366
363	0.6214989705
364	0.6208875353
365	0.6180922038
366	0.6162817872
367	0.6147177333
368	0.612972264
369	0.6105503247
370	0.6083350661
371	0.6065704516
372	0.6046888087
373	0.6023156832
374	0.6005364131
375	0.598455027
376	0.5965745983
377	0.5954436789
378	0.5937057347
379	0.5922104796
380	0.5896350162
381	0.5881946809
382	0.5866048427
383	0.5852926319
384	0.5834910605
385	0.5812458302
386	0.5796758375
387	0.5774409695
388	0.5755495887
389	0.5753675106
390	0.5736392643
391	0.5720604868
392	0.57036161
393	0.5686426295
394	0.566915761
395	0.5651745334
396	0.5634265018
397	0.5632992194
398	0.561412306
399	0.5605703374
400	0.5604699228
401	0.5596196747
402	0.5577590762
403	0.5573137017
404	0.5565743222
405	0.5549324056
406	0.5536320861
407	0.5522356122
408	0.5519435668
409	0.5503891248
410	0.5480192726
411	0.5463385063
412	0.5449305616
413	0.5424262611
414	0.5402646958
415	0.5387317981
416	0.5375582344
417	0.5361560111
418	0.535415248
419	0.5341634487
420	0.5326836214
421	0.5305278436
422	0.5294750336
423	0.5282322184
424	0.5266699897
425	0.5255429887
426	0.5230073613
427	0.5213329488
428	0.5202717715
429	0.5199849024
430	0.5188451028
431	0.517424887
432	0.515227819
433	0.5135301546
434	0.5124734073
435	0.5107752566
436	0.5088655606
437	0.5072310187
438	0.5062514318
