iter	Passed	Remaining
0	20	20156
1	29	14533
2	34	11586
3	36	9182
4	44	8918
5	49	8282
6	61	8672
7	66	8249
8	69	7616
9	71	7046
10	78	7024
11	80	6588
12	127	9657
13	141	9955
14	154	10164
15	186	11446
16	195	11302
17	204	11152
18	206	10664
19	216	10600
20	217	10143
21	226	10072
22	237	10107
23	246	10025
24	252	9859
25	256	9593
26	266	9603
27	276	9601
28	285	9569
29	297	9612
30	307	9619
31	316	9566
32	324	9505
33	332	9455
34	343	9458
35	350	9374
36	357	9305
37	366	9283
38	372	9190
39	382	9174
40	408	9562
41	418	9544
42	432	9628
43	442	9609
44	449	9533
45	459	9520
46	466	9466
47	483	9583
48	490	9523
49	498	9462
50	507	9443
51	514	9375
52	522	9339
53	529	9283
54	537	9227
55	545	9197
56	554	9178
57	563	9152
58	571	9114
59	579	9081
60	593	9136
61	609	9226
62	634	9431
63	650	9510
64	656	9443
65	667	9441
66	673	9377
67	688	9430
68	706	9536
69	716	9524
70	724	9478
71	735	9481
72	742	9430
73	750	9387
74	759	9362
75	768	9341
76	776	9313
77	785	9283
78	796	9280
79	808	9293
80	815	9257
81	826	9248
82	838	9261
83	848	9252
84	856	9218
85	865	9196
86	870	9138
87	877	9099
88	885	9068
89	894	9040
90	901	9000
91	914	9024
92	923	9011
93	931	8978
94	938	8939
95	949	8945
96	956	8908
97	971	8937
98	981	8930
99	987	8889
100	996	8870
101	1010	8893
102	1021	8897
103	1030	8878
104	1040	8871
105	1050	8856
106	1056	8813
107	1066	8805
108	1073	8776
109	1083	8766
110	1091	8744
111	1109	8794
112	1120	8791
113	1128	8774
114	1155	8894
115	1166	8890
116	1173	8859
117	1185	8863
118	1195	8851
119	1204	8831
120	1210	8795
121	1219	8776
122	1229	8764
123	1235	8729
124	1244	8711
125	1255	8706
126	1264	8692
127	1270	8656
128	1280	8645
129	1293	8655
130	1301	8631
131	1310	8614
132	1319	8601
133	1324	8559
134	1333	8542
135	1353	8598
136	1362	8584
137	1370	8563
138	1383	8571
139	1394	8564
140	1401	8535
141	1403	8482
142	1411	8460
143	1420	8445
144	1428	8422
145	1439	8418
146	1447	8400
147	1458	8396
148	1467	8381
149	1475	8363
150	1483	8340
151	1493	8330
152	1503	8321
153	1509	8293
154	1521	8295
155	1532	8291
156	1539	8264
157	1547	8247
158	1558	8243
159	1566	8224
160	1574	8207
161	1585	8201
162	1595	8190
163	1617	8247
164	1627	8236
165	1636	8219
166	1647	8219
167	1657	8210
168	1676	8244
169	1686	8231
170	1698	8233
171	1711	8241
172	1722	8234
173	1731	8221
174	1739	8200
175	1750	8194
176	1757	8169
177	1768	8166
178	1775	8145
179	1795	8177
180	1801	8153
181	1808	8129
182	1814	8100
183	1821	8076
184	1831	8067
185	1839	8049
186	1845	8023
187	1851	7997
188	1860	7983
189	1866	7957
190	1875	7944
191	1882	7920
192	1891	7907
193	1900	7894
194	1918	7919
195	1930	7920
196	1938	7903
197	1945	7880
198	1955	7872
199	1966	7867
200	1979	7868
201	1985	7844
202	1994	7829
203	2011	7847
204	2019	7833
205	2026	7812
206	2034	7793
207	2063	7856
208	2070	7836
209	2077	7814
210	2085	7798
211	2092	7779
212	2099	7759
213	2107	7739
214	2119	7737
215	2128	7726
216	2136	7708
217	2143	7690
218	2151	7673
219	2166	7682
220	2176	7671
221	2184	7656
222	2193	7641
223	2200	7622
224	2209	7610
225	2223	7615
226	2230	7594
227	2239	7582
228	2248	7568
229	2256	7555
230	2265	7541
231	2284	7562
232	2292	7546
233	2304	7543
234	2314	7535
235	2333	7555
236	2350	7566
237	2357	7547
238	2363	7525
239	2370	7506
240	2378	7489
241	2383	7465
242	2394	7459
243	2400	7437
244	2410	7426
245	2417	7409
246	2427	7400
247	2436	7388
248	2447	7383
249	2455	7367
250	2466	7359
251	2474	7345
252	2483	7331
253	2490	7314
254	2511	7338
255	2519	7323
256	2527	7305
257	2534	7289
258	2543	7278
259	2551	7263
260	2560	7251
261	2568	7234
262	2575	7217
263	2583	7201
264	2590	7185
265	2598	7170
266	2605	7152
267	2614	7141
268	2622	7125
269	2632	7117
270	2640	7103
271	2646	7083
272	2656	7075
273	2668	7070
274	2678	7061
275	2689	7053
276	2705	7062
277	2720	7066
278	2742	7085
279	2750	7071
280	2758	7058
281	2765	7042
282	2774	7029
283	2784	7019
284	2793	7008
285	2800	6990
286	2808	6976
287	2818	6967
288	2831	6965
289	2839	6950
290	2848	6940
291	2859	6934
292	2884	6960
293	2891	6943
294	2903	6937
295	2909	6920
296	2929	6933
297	2935	6915
298	2945	6906
299	2952	6889
300	2963	6881
301	2970	6866
302	2980	6857
303	2988	6843
304	2998	6831
305	3006	6819
306	3014	6805
307	3020	6787
308	3027	6770
309	3035	6756
310	3044	6744
311	3050	6727
312	3055	6707
313	3067	6700
314	3075	6688
315	3088	6685
316	3095	6670
317	3104	6658
318	3110	6640
319	3121	6632
320	3130	6622
321	3141	6614
322	3148	6599
323	3158	6590
324	3165	6574
325	3176	6567
326	3186	6558
327	3197	6551
328	3205	6537
329	3215	6528
330	3227	6523
331	3235	6510
332	3246	6502
333	3255	6492
334	3281	6514
335	3297	6516
336	3321	6533
337	3334	6530
338	3341	6515
339	3347	6498
340	3356	6487
341	3366	6477
342	3384	6482
343	3405	6493
344	3411	6476
345	3421	6466
346	3431	6457
347	3443	6451
348	3453	6441
349	3466	6437
350	3476	6428
351	3485	6416
352	3492	6400
353	3514	6414
354	3524	6403
355	3534	6393
356	3541	6378
357	3553	6372
358	3581	6393
359	3591	6384
360	3597	6367
361	3605	6355
362	3614	6343
363	3619	6324
364	3628	6313
365	3638	6303
366	3645	6287
367	3651	6271
368	3659	6257
369	3668	6246
370	3688	6252
371	3701	6248
372	3708	6234
373	3716	6220
374	3723	6206
375	3732	6194
376	3740	6180
377	3751	6173
378	3758	6158
379	3768	6148
380	3778	6138
381	3786	6125
382	3796	6115
383	3805	6105
384	3822	6106
385	3832	6095
386	3839	6081
387	3849	6072
388	3867	6074
389	3878	6066
390	3888	6056
391	3898	6046
392	3907	6035
393	3920	6029
394	3929	6019
395	3940	6009
396	3951	6002
397	3963	5994
398	3969	5978
399	3974	5962
400	3987	5956
401	3996	5944
402	4005	5933
403	4014	5922
404	4029	5919
405	4036	5905
406	4043	5891
407	4050	5877
408	4057	5863
409	4065	5850
410	4072	5835
411	4080	5823
412	4086	5807
413	4094	5796
414	4101	5781
415	4113	5774
416	4121	5761
417	4132	5753
418	4142	5743
419	4149	5729
420	4158	5719
421	4166	5707
422	4173	5693
423	4182	5681
424	4192	5672
425	4200	5659
426	4211	5650
427	4217	5636
428	4231	5632
429	4238	5618
430	4246	5605
431	4256	5596
432	4275	5598
433	4282	5585
434	4294	5577
435	4309	5574
436	4320	5566
437	4326	5551
438	4333	5537
439	4339	5522
440	4344	5507
441	4366	5512
442	4381	5508
443	4389	5496
444	4397	5484
445	4406	5473
446	4421	5469
447	4436	5465
448	4443	5452
449	4451	5441
450	4462	5432
451	4469	5418
452	4475	5404
453	4481	5389
454	4491	5380
455	4502	5371
456	4512	5361
457	4522	5351
458	4531	5340
459	4541	5331
460	4550	5320
461	4561	5312
462	4572	5303
463	4596	5309
464	4623	5319
465	4631	5307
466	4641	5297
467	4672	5311
468	4706	5329
469	4721	5324
470	4731	5313
471	4740	5303
472	4748	5290
473	4761	5283
474	4771	5274
475	4780	5262
476	4807	5271
477	4814	5257
478	4824	5247
479	4832	5235
480	4838	5221
481	4848	5210
482	4867	5210
483	4874	5196
484	4883	5185
485	4888	5170
486	4902	5164
487	4915	5157
488	4925	5147
489	4937	5139
490	4946	5127
491	4956	5117
492	4968	5109
493	4978	5099
494	5000	5101
495	5035	5116
496	5045	5106
497	5058	5099
498	5065	5085
499	5074	5074
500	5082	5061
501	5090	5049
502	5098	5037
503	5112	5031
504	5119	5017
505	5126	5004
506	5139	4997
507	5146	4984
508	5157	4975
509	5167	4964
510	5179	4956
511	5189	4946
512	5196	4932
513	5204	4921
514	5212	4909
515	5220	4896
516	5230	4886
517	5245	4880
518	5253	4869
519	5267	4862
520	5277	4851
521	5287	4841
522	5300	4834
523	5308	4822
524	5316	4810
525	5323	4796
526	5334	4787
527	5342	4775
528	5352	4765
529	5361	4754
530	5371	4744
531	5377	4730
532	5389	4721
533	5397	4710
534	5407	4699
535	5414	4686
536	5421	4674
537	5439	4670
538	5449	4660
539	5457	4649
540	5469	4640
541	5477	4628
542	5486	4617
543	5495	4606
544	5502	4594
545	5507	4579
546	5517	4569
547	5526	4558
548	5535	4547
549	5544	4536
550	5550	4523
551	5555	4508
552	5561	4495
553	5569	4484
554	5578	4473
555	5586	4461
556	5596	4450
557	5604	4439
558	5608	4424
559	5616	4412
560	5627	4403
561	5637	4393
562	5643	4380
563	5650	4368
564	5658	4356
565	5665	4344
566	5675	4334
567	5681	4321
568	5689	4309
569	5699	4299
570	5705	4286
571	5715	4276
572	5724	4266
573	5730	4253
574	5737	4240
575	5744	4228
576	5761	4223
577	5770	4213
578	5778	4201
579	5784	4188
580	5793	4178
581	5800	4165
582	5817	4161
583	5824	4149
584	5831	4137
585	5839	4125
586	5847	4114
587	5856	4103
588	5863	4091
589	5870	4079
590	5880	4069
591	5889	4058
592	5897	4047
593	5908	4038
594	5916	4026
595	5926	4017
596	5933	4005
597	5943	3995
598	5952	3984
599	5965	3977
600	5982	3971
601	5992	3961
602	6000	3950
603	6011	3941
604	6029	3936
605	6065	3943
606	6075	3933
607	6084	3922
608	6092	3911
609	6100	3900
610	6127	3901
611	6135	3889
612	6147	3880
613	6158	3871
614	6169	3861
615	6179	3852
616	6190	3842
617	6202	3833
618	6209	3821
619	6216	3809
620	6223	3798
621	6242	3793
622	6252	3783
623	6261	3773
624	6268	3760
625	6275	3749
626	6286	3740
627	6296	3729
628	6318	3726
629	6326	3715
630	6334	3704
631	6348	3696
632	6359	3686
633	6368	3676
634	6378	3666
635	6386	3655
636	6397	3645
637	6418	3641
638	6443	3640
639	6453	3629
640	6478	3628
641	6487	3617
642	6496	3606
643	6507	3597
644	6516	3586
645	6528	3577
646	6544	3570
647	6553	3559
648	6565	3550
649	6572	3538
650	6585	3530
651	6592	3518
652	6599	3507
653	6606	3495
654	6617	3485
655	6628	3475
656	6634	3463
657	6643	3453
658	6653	3442
659	6662	3432
660	6670	3421
661	6681	3411
662	6693	3402
663	6701	3391
664	6707	3378
665	6715	3367
666	6736	3363
667	6743	3351
668	6755	3342
669	6764	3331
670	6788	3328
671	6794	3316
672	6801	3304
673	6807	3292
674	6816	3281
675	6824	3270
676	6842	3264
677	6849	3252
678	6858	3242
679	6865	3230
680	6878	3222
681	6885	3210
682	6898	3201
683	6914	3194
684	6932	3187
685	6939	3176
686	6950	3166
687	6955	3154
688	6964	3143
689	6974	3133
690	6982	3122
691	6988	3110
692	6999	3100
693	7005	3088
694	7014	3078
695	7023	3067
696	7033	3057
697	7040	3046
698	7050	3036
699	7060	3025
700	7065	3013
701	7075	3003
702	7082	2992
703	7093	2982
704	7105	2973
705	7113	2962
706	7124	2952
707	7130	2940
708	7139	2930
709	7147	2919
710	7155	2908
711	7166	2898
712	7176	2888
713	7186	2878
714	7197	2868
715	7203	2857
716	7213	2846
717	7219	2835
718	7227	2824
719	7237	2814
720	7244	2803
721	7253	2793
722	7262	2782
723	7269	2771
724	7276	2760
725	7294	2752
726	7300	2741
727	7310	2731
728	7317	2720
729	7328	2710
730	7337	2700
731	7347	2689
