iter	RMSE
0	1.941406718
1	1.922445372
2	1.904430798
3	1.885595153
4	1.870133527
5	1.855872455
6	1.837897631
7	1.826378438
8	1.815542151
9	1.803799477
10	1.793247879
11	1.779980486
12	1.766165335
13	1.753324476
14	1.740600636
15	1.726971806
16	1.717633019
17	1.707015377
18	1.697091686
19	1.684795348
20	1.674519736
21	1.662283452
22	1.653564588
23	1.643055621
24	1.638133303
25	1.633517621
26	1.622550494
27	1.612077814
28	1.60184335
29	1.592287007
30	1.585825501
31	1.577958937
32	1.56799915
33	1.557781578
34	1.549926356
35	1.540550845
36	1.5336595
37	1.526031935
38	1.518578908
39	1.514882759
40	1.510166103
41	1.503534425
42	1.495475744
43	1.488764327
44	1.481814306
45	1.475340391
46	1.469724739
47	1.463208603
48	1.459779506
49	1.455241341
50	1.450945507
51	1.446485644
52	1.440094584
53	1.435609031
54	1.430656341
55	1.42688478
56	1.420436894
57	1.416269986
58	1.410860291
59	1.403224302
60	1.398355845
61	1.396017343
62	1.391166451
63	1.387720141
64	1.384599816
65	1.379892028
66	1.373902867
67	1.369811336
68	1.366414434
69	1.362890168
70	1.35928594
71	1.353827009
72	1.350277668
73	1.346264262
74	1.34181575
75	1.337433159
76	1.33441536
77	1.331772531
78	1.327907833
79	1.324747802
80	1.320986375
81	1.316951625
82	1.314340934
83	1.308959323
84	1.307020545
85	1.304055276
86	1.302238011
87	1.301175217
88	1.298341072
89	1.294096683
90	1.289401013
91	1.286362247
92	1.283104341
93	1.281655276
94	1.277302881
95	1.273142728
96	1.269212527
97	1.268117725
98	1.265240539
99	1.262701963
100	1.258599092
101	1.2556579
102	1.251085962
103	1.248019084
104	1.245074367
105	1.242219981
106	1.238968559
107	1.234899061
108	1.231984544
109	1.22882161
110	1.225221238
111	1.223366005
112	1.219586274
113	1.217835123
114	1.214383913
115	1.212138938
116	1.210442574
117	1.206129411
118	1.203629806
119	1.200184969
120	1.195785599
121	1.19298273
122	1.191739786
123	1.189463242
124	1.187102269
125	1.183886927
126	1.181346133
127	1.180523807
128	1.177743225
129	1.175422498
130	1.170836454
131	1.166908183
132	1.164909961
133	1.163185131
134	1.158925051
135	1.156911634
136	1.155955052
137	1.151848968
138	1.148693927
139	1.145621154
140	1.143321401
141	1.139987487
142	1.135917657
143	1.132422281
144	1.12884764
145	1.125827559
146	1.123191368
147	1.120307805
148	1.117726948
149	1.115146796
150	1.111898632
151	1.109547074
152	1.104853044
153	1.102653206
154	1.100018344
155	1.097405732
156	1.093943603
157	1.092425392
158	1.089953188
159	1.088218945
160	1.085878034
161	1.082121019
162	1.077258179
163	1.073632847
164	1.070580851
165	1.068293396
166	1.066285177
167	1.062901778
168	1.059651343
169	1.058364991
170	1.055845209
171	1.053822431
172	1.050607186
173	1.047842426
174	1.045412967
175	1.040943213
176	1.038958946
177	1.035404377
178	1.032745005
179	1.029659901
180	1.025878886
181	1.023919442
182	1.021384918
183	1.017625941
184	1.015069629
185	1.013323539
186	1.009427625
187	1.007422316
188	1.004527303
189	1.000876238
190	0.9975241468
191	0.9950533185
192	0.9937853496
193	0.9917534257
194	0.9892961962
195	0.9845847482
196	0.9810761204
197	0.9803235955
198	0.9776654581
199	0.9765938417
200	0.9746904906
201	0.9733765282
202	0.9703445577
203	0.9682296424
204	0.9669686291
205	0.9650016473
206	0.9618412973
207	0.959230714
208	0.9579836842
209	0.9553688368
210	0.9526353715
211	0.9497492791
212	0.9474404786
213	0.9445365222
214	0.9416656467
215	0.9388964927
