iter	Passed	Remaining
0	17	17566
1	27	13695
2	34	11541
3	40	10128
4	52	10496
5	60	10032
6	68	9758
7	69	8678
8	71	7892
9	75	7497
10	77	6997
11	85	7047
12	93	7106
13	103	7291
14	111	7335
15	122	7536
16	131	7581
17	137	7485
18	144	7443
19	156	7649
20	164	7656
21	172	7684
22	180	7658
23	189	7721
24	193	7538
25	194	7288
26	201	7268
27	213	7417
28	222	7460
29	232	7513
30	242	7568
31	248	7512
32	254	7465
33	262	7467
34	270	7464
35	279	7477
36	290	7558
37	296	7516
38	306	7556
39	309	7439
40	318	7449
41	326	7447
42	335	7460
43	344	7481
44	351	7463
45	359	7463
46	368	7472
47	374	7432
48	382	7420
49	392	7453
50	402	7485
51	409	7458
52	417	7468
53	427	7481
54	436	7491
55	447	7550
56	460	7611
57	467	7592
58	475	7584
59	484	7584
60	493	7595
61	501	7584
62	509	7579
63	521	7631
64	530	7637
65	539	7631
66	547	7630
67	554	7598
68	560	7567
69	573	7620
70	584	7650
71	591	7626
72	597	7587
73	606	7592
74	612	7558
75	619	7530
76	628	7534
77	637	7541
78	648	7561
79	656	7552
80	666	7560
81	675	7561
82	683	7547
83	689	7518
84	695	7489
85	704	7482
86	711	7466
87	714	7408
88	722	7392
89	731	7395
90	738	7380
91	746	7368
92	756	7374
93	766	7389
94	773	7368
95	782	7372
96	792	7380
97	798	7351
98	809	7363
99	816	7352
100	824	7337
101	836	7363
102	843	7343
103	851	7337
104	858	7318
105	867	7312
106	873	7290
107	882	7287
108	888	7263
109	897	7262
110	905	7248
111	914	7247
112	922	7239
113	928	7218
114	939	7230
115	949	7234
116	956	7219
117	969	7245
118	978	7241
119	987	7240
120	995	7231
121	1003	7220
122	1010	7205
123	1016	7181
124	1024	7169
125	1031	7156
126	1039	7142
127	1048	7140
128	1054	7122
129	1064	7127
130	1072	7114
131	1085	7134
132	1092	7122
133	1099	7107
134	1107	7098
135	1113	7076
136	1122	7069
137	1129	7055
138	1137	7044
139	1143	7025
140	1153	7026
141	1160	7010
142	1168	7001
143	1174	6983
144	1183	6978
145	1190	6965
146	1200	6964
147	1206	6945
148	1216	6946
149	1221	6923
150	1231	6923
151	1238	6910
152	1247	6906
153	1255	6898
154	1262	6880
155	1273	6887
156	1279	6868
157	1288	6864
158	1294	6847
159	1302	6837
160	1310	6827
161	1321	6836
162	1330	6832
163	1337	6819
164	1346	6814
165	1354	6805
166	1365	6810
167	1375	6814
168	1386	6815
169	1393	6803
170	1402	6799
171	1410	6788
172	1417	6776
173	1424	6762
174	1434	6760
175	1440	6743
176	1448	6736
177	1455	6721
178	1463	6712
179	1471	6702
180	1478	6688
181	1487	6684
182	1493	6668
183	1501	6656
184	1506	6638
185	1517	6641
186	1522	6620
187	1532	6618
188	1538	6602
189	1546	6592
190	1555	6590
191	1561	6572
192	1568	6557
193	1574	6539
194	1581	6527
195	1588	6516
196	1598	6515
197	1604	6497
198	1612	6488
199	1618	6474
200	1627	6469
201	1633	6454
202	1639	6437
203	1646	6423
204	1653	6411
205	1660	6399
206	1666	6382
207	1675	6381
208	1681	6363
209	1686	6344
210	1692	6327
211	1700	6319
212	1706	6303
213	1713	6291
214	1719	6276
215	1727	6269
216	1734	6258
217	1743	6254
218	1750	6242
219	1759	6236
220	1765	6222
221	1772	6213
222	1782	6209
223	1789	6200
224	1798	6195
225	1804	6179
226	1812	6171
227	1817	6153
228	1823	6138
229	1829	6124
230	1835	6111
231	1843	6103
232	1850	6091
233	1857	6081
234	1863	6065
235	1871	6058
236	1877	6043
237	1883	6029
238	1889	6014
239	1893	5996
240	1900	5984
241	1905	5969
242	1911	5955
243	1916	5938
244	1922	5923
245	1930	5916
246	1933	5895
247	1937	5876
248	1944	5863
249	1948	5846
250	1953	5828
251	1958	5813
252	1963	5796
253	1970	5786
254	1976	5774
255	1980	5754
256	1983	5734
257	1989	5720
258	1993	5702
259	1997	5684
260	2003	5671
261	2007	5655
262	2012	5638
263	2019	5630
264	2024	5615
265	2030	5602
266	2036	5589
267	2040	5573
268	2045	5558
269	2050	5543
270	2055	5528
271	2059	5512
272	2066	5502
273	2070	5485
274	2077	5477
275	2082	5463
276	2087	5448
277	2094	5440
278	2099	5424
279	2103	5409
280	2108	5394
281	2111	5377
282	2116	5361
283	2121	5349
284	2125	5333
285	2129	5315
286	2135	5304
287	2138	5287
288	2142	5271
289	2149	5262
290	2153	5247
291	2159	5236
292	2165	5225
293	2169	5210
294	2175	5198
295	2181	5187
296	2185	5173
297	2192	5164
298	2197	5151
299	2201	5137
300	2205	5122
301	2211	5112
302	2215	5096
303	2219	5082
304	2225	5070
305	2229	5055
306	2233	5042
307	2239	5031
308	2243	5016
309	2247	5002
310	2251	4988
311	2257	4978
312	2261	4964
313	2265	4949
314	2271	4940
315	2276	4927
316	2280	4913
317	2286	4903
318	2290	4890
319	2295	4877
320	2300	4866
321	2307	4857
322	2312	4846
323	2318	4837
324	2324	4828
325	2331	4820
326	2337	4810
327	2342	4798
328	2347	4788
329	2351	4775
330	2356	4762
331	2362	4754
332	2368	4743
333	2373	4732
334	2379	4723
335	2383	4709
336	2387	4697
337	2393	4687
338	2397	4674
339	2400	4660
340	2407	4652
341	2411	4639
342	2415	4627
343	2422	4619
344	2427	4607
345	2431	4595
346	2436	4585
347	2440	4573
348	2445	4560
349	2451	4552
350	2455	4540
351	2459	4528
352	2464	4517
353	2469	4506
354	2473	4494
355	2477	4482
356	2482	4471
357	2487	4460
358	2491	4448
359	2497	4439
360	2501	4427
361	2505	4415
362	2511	4407
363	2517	4398
364	2524	4391
365	2528	4379
366	2532	4367
367	2536	4356
368	2540	4344
369	2544	4332
370	2548	4320
371	2554	4311
372	2558	4299
373	2561	4287
374	2567	4278
375	2571	4267
376	2574	4254
377	2579	4244
378	2584	4235
379	2591	4229
380	2599	4222
381	2603	4211
382	2606	4199
383	2614	4194
384	2620	4185
385	2625	4176
386	2629	4165
387	2633	4154
388	2637	4143
389	2644	4135
390	2652	4131
391	2658	4122
392	2661	4110
393	2664	4098
394	2668	4087
395	2673	4078
396	2678	4068
397	2681	4056
398	2687	4048
399	2691	4037
400	2697	4029
401	2703	4020
402	2706	4009
403	2711	4000
404	2716	3990
405	2720	3980
406	2725	3971
407	2731	3962
408	2735	3952
409	2739	3941
410	2744	3933
411	2748	3923
412	2752	3912
413	2756	3901
414	2763	3894
415	2767	3884
416	2772	3876
417	2776	3866
418	2781	3856
419	2786	3848
420	2790	3837
421	2794	3828
422	2799	3818
423	2803	3808
424	2810	3802
425	2818	3798
426	2825	3791
427	2830	3782
428	2835	3773
429	2839	3764
430	2844	3755
431	2850	3747
432	2854	3737
433	2859	3729
434	2865	3722
435	2869	3712
436	2876	3705
437	2882	3698
438	2887	3689
439	2894	3683
440	2900	3676
441	2907	3670
442	2911	3660
443	2915	3651
444	2921	3643
445	2926	3634
446	2930	3625
447	2935	3617
448	2940	3608
449	2945	3599
450	2949	3590
451	2953	3580
452	2956	3570
453	2960	3560
454	2967	3554
455	2973	3547
456	2977	3537
457	2982	3529
458	2987	3520
459	2990	3510
460	2996	3503
461	3001	3495
462	3006	3486
463	3010	3477
464	3015	3468
465	3024	3466
466	3031	3459
467	3036	3451
468	3042	3444
469	3046	3435
470	3050	3426
471	3054	3416
472	3058	3407
473	3061	3397
474	3067	3390
475	3071	3381
476	3075	3372
477	3081	3365
478	3087	3358
479	3092	3350
480	3098	3343
481	3102	3334
482	3106	3325
483	3112	3318
484	3117	3310
485	3123	3303
486	3129	3296
487	3134	3288
488	3140	3281
489	3145	3273
490	3149	3265
491	3155	3258
492	3160	3250
493	3167	3244
494	3175	3239
495	3178	3229
496	3183	3221
497	3189	3215
498	3193	3206
499	3198	3198
500	3204	3192
501	3209	3183
502	3215	3176
503	3220	3168
504	3225	3161
505	3230	3153
506	3235	3146
507	3239	3137
508	3244	3129
509	3249	3121
510	3253	3113
511	3257	3105
512	3263	3098
513	3267	3089
514	3274	3083
515	3282	3079
516	3288	3072
517	3293	3065
518	3298	3056
519	3302	3048
520	3308	3041
521	3312	3033
522	3316	3024
523	3322	3017
524	3326	3009
